date,ward,precinct,race,type,candidate,votes
2019-03-09,01,05,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,01,05,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,01,05,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,01,05,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,01,05,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,01,05,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,01,05,PRES OF BOA DEM,Total,JAMILAH NASHEED,103
2019-03-09,01,05,PRES OF BOA DEM,Total,MEGAN GREEN,15
2019-03-09,01,05,PRES OF BOA DEM,Total,LEWIS REED,53
2019-03-09,01,06,PRES OF BOA DEM,Polling,JAMILAH NASHEED,111
2019-03-09,01,06,PRES OF BOA DEM,Polling,MEGAN GREEN,3
2019-03-09,01,06,PRES OF BOA DEM,Polling,LEWIS REED,48
2019-03-09,01,06,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,24
2019-03-09,01,06,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,4
2019-03-09,01,06,PRES OF BOA DEM,ABSENTEE,LEWIS REED,19
2019-03-09,01,06,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,01,06,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,01,06,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,01,06,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,01,06,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,01,06,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,01,06,PRES OF BOA DEM,Total,JAMILAH NASHEED,135
2019-03-09,01,06,PRES OF BOA DEM,Total,MEGAN GREEN,7
2019-03-09,01,06,PRES OF BOA DEM,Total,LEWIS REED,67
2019-03-09,01,07,PRES OF BOA DEM,Polling,JAMILAH NASHEED,3
2019-03-09,01,07,PRES OF BOA DEM,Polling,MEGAN GREEN,1
2019-03-09,01,07,PRES OF BOA DEM,Polling,LEWIS REED,2
2019-03-09,01,07,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,1
2019-03-09,01,07,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,01,07,PRES OF BOA DEM,ABSENTEE,LEWIS REED,1
2019-03-09,01,07,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,01,07,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,01,07,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,01,07,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,01,07,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,01,07,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,01,07,PRES OF BOA DEM,Total,JAMILAH NASHEED,4
2019-03-09,01,07,PRES OF BOA DEM,Total,MEGAN GREEN,1
2019-03-09,01,07,PRES OF BOA DEM,Total,LEWIS REED,3
2019-03-09,02,01,PRES OF BOA DEM,Polling,JAMILAH NASHEED,16
2019-03-09,02,01,PRES OF BOA DEM,Polling,MEGAN GREEN,0
2019-03-09,02,01,PRES OF BOA DEM,Polling,LEWIS REED,9
2019-03-09,02,01,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,3
2019-03-09,02,01,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,02,01,PRES OF BOA DEM,ABSENTEE,LEWIS REED,5
2019-03-09,02,01,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,02,01,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,02,01,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,02,01,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,02,01,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,02,01,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,02,01,PRES OF BOA DEM,Total,JAMILAH NASHEED,19
2019-03-09,02,01,PRES OF BOA DEM,Total,MEGAN GREEN,0
2019-03-09,02,01,PRES OF BOA DEM,Total,LEWIS REED,14
2019-03-09,02,02,PRES OF BOA DEM,Polling,JAMILAH NASHEED,9
2019-03-09,02,02,PRES OF BOA DEM,Polling,MEGAN GREEN,0
2019-03-09,02,02,PRES OF BOA DEM,Polling,LEWIS REED,3
2019-03-09,02,02,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,1
2019-03-09,02,02,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,02,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,2
2019-03-09,02,02,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,02,02,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,02,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,02,02,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,02,02,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,02,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,02,02,PRES OF BOA DEM,Total,JAMILAH NASHEED,10
2019-03-09,02,02,PRES OF BOA DEM,Total,MEGAN GREEN,0
2019-03-09,02,02,PRES OF BOA DEM,Total,LEWIS REED,5
2019-03-09,02,03,PRES OF BOA DEM,Polling,JAMILAH NASHEED,78
2019-03-09,02,03,PRES OF BOA DEM,Polling,MEGAN GREEN,9
2019-03-09,02,03,PRES OF BOA DEM,Polling,LEWIS REED,43
2019-03-09,02,03,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,3
2019-03-09,02,03,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,2
2019-03-09,02,03,PRES OF BOA DEM,ABSENTEE,LEWIS REED,4
2019-03-09,02,03,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,02,03,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,02,03,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,02,03,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,02,03,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,02,03,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,02,03,PRES OF BOA DEM,Total,JAMILAH NASHEED,81
2019-03-09,02,03,PRES OF BOA DEM,Total,MEGAN GREEN,11
2019-03-09,02,03,PRES OF BOA DEM,Total,LEWIS REED,47
2019-03-09,02,04,PRES OF BOA DEM,Polling,JAMILAH NASHEED,50
2019-03-09,02,04,PRES OF BOA DEM,Polling,MEGAN GREEN,6
2019-03-09,02,04,PRES OF BOA DEM,Polling,LEWIS REED,17
2019-03-09,02,04,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,7
2019-03-09,02,04,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,02,04,PRES OF BOA DEM,ABSENTEE,LEWIS REED,6
2019-03-09,02,04,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,02,04,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,02,04,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,02,04,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,02,04,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,02,04,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,02,04,PRES OF BOA DEM,Total,JAMILAH NASHEED,57
2019-03-09,02,04,PRES OF BOA DEM,Total,MEGAN GREEN,6
2019-03-09,02,04,PRES OF BOA DEM,Total,LEWIS REED,23
2019-03-09,02,05,PRES OF BOA DEM,Polling,JAMILAH NASHEED,126
2019-03-09,02,05,PRES OF BOA DEM,Polling,MEGAN GREEN,15
2019-03-09,02,05,PRES OF BOA DEM,Polling,LEWIS REED,67
2019-03-09,02,05,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,15
2019-03-09,02,05,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,2
2019-03-09,02,05,PRES OF BOA DEM,ABSENTEE,LEWIS REED,14
2019-03-09,02,05,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,02,05,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,02,05,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,02,05,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,02,05,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,02,05,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,02,05,PRES OF BOA DEM,Total,JAMILAH NASHEED,141
2019-03-09,02,05,PRES OF BOA DEM,Total,MEGAN GREEN,17
2019-03-09,02,05,PRES OF BOA DEM,Total,LEWIS REED,81
2019-03-09,02,06,PRES OF BOA DEM,Polling,JAMILAH NASHEED,3
2019-03-09,02,06,PRES OF BOA DEM,Polling,MEGAN GREEN,0
2019-03-09,02,06,PRES OF BOA DEM,Polling,LEWIS REED,0
2019-03-09,02,06,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,0
2019-03-09,02,06,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,02,06,PRES OF BOA DEM,ABSENTEE,LEWIS REED,0
2019-03-09,02,06,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,02,06,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,02,06,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,02,06,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,02,06,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,02,06,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,02,06,PRES OF BOA DEM,Total,JAMILAH NASHEED,3
2019-03-09,02,06,PRES OF BOA DEM,Total,MEGAN GREEN,0
2019-03-09,02,06,PRES OF BOA DEM,Total,LEWIS REED,0
2019-03-09,02,07,PRES OF BOA DEM,Polling,JAMILAH NASHEED,113
2019-03-09,02,07,PRES OF BOA DEM,Polling,MEGAN GREEN,9
2019-03-09,02,07,PRES OF BOA DEM,Polling,LEWIS REED,89
2019-03-09,02,07,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,12
2019-03-09,02,07,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,3
2019-03-09,02,07,PRES OF BOA DEM,ABSENTEE,LEWIS REED,18
2019-03-09,02,07,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,02,07,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,02,07,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,02,07,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,02,07,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,02,07,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,02,07,PRES OF BOA DEM,Total,JAMILAH NASHEED,125
2019-03-09,02,07,PRES OF BOA DEM,Total,MEGAN GREEN,12
2019-03-09,02,07,PRES OF BOA DEM,Total,LEWIS REED,107
2019-03-09,02,08,PRES OF BOA DEM,Polling,JAMILAH NASHEED,94
2019-03-09,02,08,PRES OF BOA DEM,Polling,MEGAN GREEN,10
2019-03-09,02,08,PRES OF BOA DEM,Polling,LEWIS REED,54
2019-03-09,02,08,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,6
2019-03-09,02,08,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,02,08,PRES OF BOA DEM,ABSENTEE,LEWIS REED,7
2019-03-09,02,08,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,02,08,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,02,08,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
