stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
11660,11660,MORRISON @ IDLEWOOD NB,NEAR SIDE MORRISON @ IDLEWOOD NB,38.659406,-89.984821
13057,13057,FALLING SPRINGS @ UPPER CAHOKIA NB,NEAR SIDE FALLING SPRINGS @ UPPER CAHOKIA NB,38.574932,-90.178576
13018,13018,CAMP JACKSON @ CAROL WB,NEAR SIDE CAMP JACKSON @ CAROL WB,38.549889,-90.128886
16292,16292,NORTH AND SOUTH @ ALLEN SB,FAR SIDE NORTH AND SOUTH @ ALLEN SB,38.698004,-90.333273
14708,14708,WEST FLORISSANT @ SEVEN HILLS NB,NEAR SIDE WEST FLORISSANT @ SEVEN HILLS NB,38.778559,-90.280896
3600,3600,WATERFORD @ DERHAKE NB,NEAR SIDE WATERFORD @ DERHAKE NB,38.780600,-90.301503
2507,2507,PAGE @ UNION EB,FAR SIDE PAGE @ UNION EB,38.660837,-90.271981
3010,3010,OLIVE @ WARSON WB,FAR SIDE OLIVE @ WARSON WB,38.672860,-90.395330
1751,1751,JAMIESON @ FYLER SB,NEAR SIDE JAMIESON @ FYLER SB,38.603774,-90.307763
15720,15720,B STREET @ CHURCH EB,FAR SIDE B STREET @ CHURCH EB,38.515443,-89.980050
2061,2061,655 CANTERBURY SB,MID-BLOCK 655 CANTERBURY SB,38.662778,-90.360749
15330,15330,ROBERT L PRICE @ 43RD STREET EB,NEAR SIDE ROBERT L PRICE @ 43RD STREET EB,38.606965,-90.110485
4157,4157,GRAND @ NATURAL BRIDGE NB,FAR SIDE GRAND @ NATURAL BRIDGE NB,38.661365,-90.216459
4129,4129,GRAND @ PARK NB,NEAR SIDE GRAND @ PARK NB,38.619389,-90.238749
5410,5410,DALE @ YALE EB,FAR SIDE DALE @ YALE EB,38.626977,-90.310242
8368,8368,HAMILTON @ DELMAR NB,FAR SIDE HAMILTON @ DELMAR NB,38.654770,-90.290340
9044,9044,GRAVOIS @ LEMP EB,NEAR SIDE GRAVOIS @ LEMP EB,38.607554,-90.215083
8285,8285,JENNINGS STATION ROAD @ BROOKFIELD SB,FAR SIDE JENNINGS STATION ROAD @ BROOKFIELD SB,38.724698,-90.250831
9864,9864,BIG BEND @ WESTBROOKE MEADOWS EB,NEAR SIDE BIG BEND @ WESTBROOKE MEADOWS EB,38.567155,-90.514972
11591,11591,MORRISON @ CHURCH SB,FAR SIDE MORRISON @ CHURCH SB,38.669290,-89.984360
12204,12204,MAIN @ 27TH STREET AT RR WB,NEAR SIDE MAIN @ 27TH STREET AT RR WB,38.525461,-90.011372
731,731,WEST FLORISSANT @ BUZZ WESTFALL PLAZA NB,NEAR SIDE WEST FLORISSANT @ BUZZ WESTFALL PLAZA NB,38.726725,-90.276034
13429,13429,PERSHING @ UNION EB,NEAR SIDE PERSHING @ UNION EB,38.647512,-90.274466
3119,3119,OLIVE @ OFFICE PARKWAY EB,FAR SIDE OLIVE @ OFFICE PARKWAY EB,38.671108,-90.434315
3533,3533,WEST FLORISSANT @ LINTON NB,NEAR SIDE WEST FLORISSANT @ LINTON NB,38.672439,-90.215995
4559,4559,CHAMBERS @ CASTLE WB,NEAR SIDE CHAMBERS @ CASTLE WB,38.751127,-90.241980
6298,6298,HALLS FERRY @ EDGEWATER NB,NEAR SIDE HALLS FERRY @ EDGEWATER NB,38.726735,-90.242651
14969,14969,MACKENZIE @ DEXTER NB,NEAR SIDE MACKENZIE @ DEXTER NB,38.555606,-90.322563
11272,11272,ILLINOIS @ DOUGLAS NB,NEAR SIDE ILLINOIS @ DOUGLAS NB,38.523374,-89.984141
11218,11218,B STREET @ FLORIDA WB,NEAR SIDE B STREET @ FLORIDA WB,38.519658,-89.968038
