ward,precinct,race,type,candidate,votes
01,01,STATE AUDITOR,Polling,TOM SCHWEICH,37
01,01,STATE AUDITOR,Polling,SEAN OTOOLE,89
01,01,STATE AUDITOR,Polling,RODNEY FARTHING,50
01,01,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,5
01,01,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,4
01,01,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,1
01,01,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
01,01,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
01,01,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
01,01,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
01,01,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
01,01,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
01,01,STATE AUDITOR,Total,TOM SCHWEICH,42
01,01,STATE AUDITOR,Total,SEAN OTOOLE,93
01,01,STATE AUDITOR,Total,RODNEY FARTHING,51
01,02,STATE AUDITOR,Polling,TOM SCHWEICH,43
01,02,STATE AUDITOR,Polling,SEAN OTOOLE,99
01,02,STATE AUDITOR,Polling,RODNEY FARTHING,59
01,02,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,7
01,02,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,6
01,02,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,3
01,02,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
01,02,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
01,02,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
01,02,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
01,02,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
01,02,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
01,02,STATE AUDITOR,Total,TOM SCHWEICH,50
01,02,STATE AUDITOR,Total,SEAN OTOOLE,105
01,02,STATE AUDITOR,Total,RODNEY FARTHING,62
01,03,STATE AUDITOR,Polling,TOM SCHWEICH,43
01,03,STATE AUDITOR,Polling,SEAN OTOOLE,90
01,03,STATE AUDITOR,Polling,RODNEY FARTHING,65
01,03,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,8
01,03,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,12
01,03,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,0
01,03,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
01,03,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,1
01,03,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,1
01,03,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
01,03,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
01,03,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,1
01,03,STATE AUDITOR,Total,TOM SCHWEICH,51
01,03,STATE AUDITOR,Total,SEAN OTOOLE,103
01,03,STATE AUDITOR,Total,RODNEY FARTHING,67
01,04,STATE AUDITOR,Polling,TOM SCHWEICH,55
01,04,STATE AUDITOR,Polling,SEAN OTOOLE,86
01,04,STATE AUDITOR,Polling,RODNEY FARTHING,65
01,04,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,3
01,04,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,2
01,04,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,0
01,04,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
01,04,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
01,04,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
01,04,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
01,04,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
01,04,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
01,04,STATE AUDITOR,Total,TOM SCHWEICH,58
01,04,STATE AUDITOR,Total,SEAN OTOOLE,88
01,04,STATE AUDITOR,Total,RODNEY FARTHING,65
01,05,STATE AUDITOR,Polling,TOM SCHWEICH,50
01,05,STATE AUDITOR,Polling,SEAN OTOOLE,115
01,05,STATE AUDITOR,Polling,RODNEY FARTHING,56
01,05,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,7
01,05,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,5
01,05,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,2
01,05,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
01,05,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
01,05,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
01,05,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
01,05,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
01,05,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
01,05,STATE AUDITOR,Total,TOM SCHWEICH,57
01,05,STATE AUDITOR,Total,SEAN OTOOLE,120
01,05,STATE AUDITOR,Total,RODNEY FARTHING,58
01,06,STATE AUDITOR,Polling,TOM SCHWEICH,60
01,06,STATE AUDITOR,Polling,SEAN OTOOLE,99
01,06,STATE AUDITOR,Polling,RODNEY FARTHING,64
01,06,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,9
01,06,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,13
01,06,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,5
01,06,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
01,06,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
01,06,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
01,06,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
01,06,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
01,06,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
01,06,STATE AUDITOR,Total,TOM SCHWEICH,69
01,06,STATE AUDITOR,Total,SEAN OTOOLE,112
01,06,STATE AUDITOR,Total,RODNEY FARTHING,69
01,07,STATE AUDITOR,Polling,TOM SCHWEICH,3
01,07,STATE AUDITOR,Polling,SEAN OTOOLE,9
01,07,STATE AUDITOR,Polling,RODNEY FARTHING,7
01,07,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,0
01,07,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,1
01,07,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,0
