date,ward,precinct,race,type,candidate,votes
2014-11-04,01,01,STATE AUDITOR,Polling,TOM SCHWEICH,37
2014-11-04,01,01,STATE AUDITOR,Polling,SEAN OTOOLE,89
2014-11-04,01,01,STATE AUDITOR,Polling,RODNEY FARTHING,50
2014-11-04,01,01,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,5
2014-11-04,01,01,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,4
2014-11-04,01,01,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,1
2014-11-04,01,01,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,01,01,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,01,01,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,01,01,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,01,01,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,01,01,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,01,01,STATE AUDITOR,Total,TOM SCHWEICH,42
2014-11-04,01,01,STATE AUDITOR,Total,SEAN OTOOLE,93
2014-11-04,01,01,STATE AUDITOR,Total,RODNEY FARTHING,51
2014-11-04,01,02,STATE AUDITOR,Polling,TOM SCHWEICH,43
2014-11-04,01,02,STATE AUDITOR,Polling,SEAN OTOOLE,99
2014-11-04,01,02,STATE AUDITOR,Polling,RODNEY FARTHING,59
2014-11-04,01,02,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,7
2014-11-04,01,02,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,6
2014-11-04,01,02,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,3
2014-11-04,01,02,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,01,02,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,01,02,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,01,02,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,01,02,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,01,02,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,01,02,STATE AUDITOR,Total,TOM SCHWEICH,50
2014-11-04,01,02,STATE AUDITOR,Total,SEAN OTOOLE,105
2014-11-04,01,02,STATE AUDITOR,Total,RODNEY FARTHING,62
2014-11-04,01,03,STATE AUDITOR,Polling,TOM SCHWEICH,43
2014-11-04,01,03,STATE AUDITOR,Polling,SEAN OTOOLE,90
2014-11-04,01,03,STATE AUDITOR,Polling,RODNEY FARTHING,65
2014-11-04,01,03,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,8
2014-11-04,01,03,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,12
2014-11-04,01,03,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,0
2014-11-04,01,03,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,01,03,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,1
2014-11-04,01,03,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,1
2014-11-04,01,03,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,01,03,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,01,03,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,1
2014-11-04,01,03,STATE AUDITOR,Total,TOM SCHWEICH,51
2014-11-04,01,03,STATE AUDITOR,Total,SEAN OTOOLE,103
2014-11-04,01,03,STATE AUDITOR,Total,RODNEY FARTHING,67
2014-11-04,01,04,STATE AUDITOR,Polling,TOM SCHWEICH,55
2014-11-04,01,04,STATE AUDITOR,Polling,SEAN OTOOLE,86
2014-11-04,01,04,STATE AUDITOR,Polling,RODNEY FARTHING,65
2014-11-04,01,04,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,3
2014-11-04,01,04,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,2
2014-11-04,01,04,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,0
2014-11-04,01,04,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,01,04,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,01,04,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,01,04,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,01,04,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,01,04,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,01,04,STATE AUDITOR,Total,TOM SCHWEICH,58
2014-11-04,01,04,STATE AUDITOR,Total,SEAN OTOOLE,88
2014-11-04,01,04,STATE AUDITOR,Total,RODNEY FARTHING,65
2014-11-04,01,05,STATE AUDITOR,Polling,TOM SCHWEICH,50
2014-11-04,01,05,STATE AUDITOR,Polling,SEAN OTOOLE,115
2014-11-04,01,05,STATE AUDITOR,Polling,RODNEY FARTHING,56
2014-11-04,01,05,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,7
2014-11-04,01,05,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,5
2014-11-04,01,05,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,2
2014-11-04,01,05,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,01,05,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,01,05,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,01,05,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,01,05,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,01,05,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,01,05,STATE AUDITOR,Total,TOM SCHWEICH,57
2014-11-04,01,05,STATE AUDITOR,Total,SEAN OTOOLE,120
2014-11-04,01,05,STATE AUDITOR,Total,RODNEY FARTHING,58
2014-11-04,01,06,STATE AUDITOR,Polling,TOM SCHWEICH,60
2014-11-04,01,06,STATE AUDITOR,Polling,SEAN OTOOLE,99
2014-11-04,01,06,STATE AUDITOR,Polling,RODNEY FARTHING,64
2014-11-04,01,06,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,9
2014-11-04,01,06,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,13
2014-11-04,01,06,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,5
2014-11-04,01,06,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,01,06,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,01,06,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,01,06,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,01,06,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,01,06,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,01,06,STATE AUDITOR,Total,TOM SCHWEICH,69
2014-11-04,01,06,STATE AUDITOR,Total,SEAN OTOOLE,112
2014-11-04,01,06,STATE AUDITOR,Total,RODNEY FARTHING,69
2014-11-04,01,07,STATE AUDITOR,Polling,TOM SCHWEICH,3
2014-11-04,01,07,STATE AUDITOR,Polling,SEAN OTOOLE,9
2014-11-04,01,07,STATE AUDITOR,Polling,RODNEY FARTHING,7
2014-11-04,01,07,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,0
2014-11-04,01,07,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,1
2014-11-04,01,07,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,0
2014-11-04,01,07,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,01,07,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,01,07,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,01,07,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,01,07,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,01,07,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,01,07,STATE AUDITOR,Total,TOM SCHWEICH,3
2014-11-04,01,07,STATE AUDITOR,Total,SEAN OTOOLE,10
2014-11-04,01,07,STATE AUDITOR,Total,RODNEY FARTHING,7
2014-11-04,02,01,STATE AUDITOR,Polling,TOM SCHWEICH,16
2014-11-04,02,01,STATE AUDITOR,Polling,SEAN OTOOLE,29
2014-11-04,02,01,STATE AUDITOR,Polling,RODNEY FARTHING,9
2014-11-04,02,01,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,0
2014-11-04,02,01,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,1
2014-11-04,02,01,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,2
2014-11-04,02,01,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,02,01,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,02,01,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,02,01,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,02,01,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,02,01,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,02,01,STATE AUDITOR,Total,TOM SCHWEICH,16
2014-11-04,02,01,STATE AUDITOR,Total,SEAN OTOOLE,30
2014-11-04,02,01,STATE AUDITOR,Total,RODNEY FARTHING,11
2014-11-04,02,02,STATE AUDITOR,Polling,TOM SCHWEICH,7
2014-11-04,02,02,STATE AUDITOR,Polling,SEAN OTOOLE,23
2014-11-04,02,02,STATE AUDITOR,Polling,RODNEY FARTHING,8
2014-11-04,02,02,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,1
2014-11-04,02,02,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,0
2014-11-04,02,02,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,0
2014-11-04,02,02,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,02,02,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,02,02,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,02,02,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,02,02,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,02,02,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,02,02,STATE AUDITOR,Total,TOM SCHWEICH,8
2014-11-04,02,02,STATE AUDITOR,Total,SEAN OTOOLE,23
2014-11-04,02,02,STATE AUDITOR,Total,RODNEY FARTHING,8
2014-11-04,02,03,STATE AUDITOR,Polling,TOM SCHWEICH,66
2014-11-04,02,03,STATE AUDITOR,Polling,SEAN OTOOLE,86
2014-11-04,02,03,STATE AUDITOR,Polling,RODNEY FARTHING,71
2014-11-04,02,03,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,8
2014-11-04,02,03,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,4
2014-11-04,02,03,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,1
2014-11-04,02,03,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,02,03,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,02,03,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,02,03,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,02,03,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,02,03,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,02,03,STATE AUDITOR,Total,TOM SCHWEICH,74
2014-11-04,02,03,STATE AUDITOR,Total,SEAN OTOOLE,90
2014-11-04,02,03,STATE AUDITOR,Total,RODNEY FARTHING,72
2014-11-04,02,04,STATE AUDITOR,Polling,TOM SCHWEICH,23
2014-11-04,02,04,STATE AUDITOR,Polling,SEAN OTOOLE,77
2014-11-04,02,04,STATE AUDITOR,Polling,RODNEY FARTHING,46
2014-11-04,02,04,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,7
2014-11-04,02,04,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,2
2014-11-04,02,04,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,1
2014-11-04,02,04,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,02,04,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,02,04,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,02,04,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,02,04,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
2014-11-04,02,04,STATE AUDITOR,HOUSE VOTES,RODNEY FARTHING,0
2014-11-04,02,04,STATE AUDITOR,Total,TOM SCHWEICH,30
2014-11-04,02,04,STATE AUDITOR,Total,SEAN OTOOLE,79
2014-11-04,02,04,STATE AUDITOR,Total,RODNEY FARTHING,47
2014-11-04,02,05,STATE AUDITOR,Polling,TOM SCHWEICH,64
2014-11-04,02,05,STATE AUDITOR,Polling,SEAN OTOOLE,117
2014-11-04,02,05,STATE AUDITOR,Polling,RODNEY FARTHING,91
2014-11-04,02,05,STATE AUDITOR,ABSENTEE,TOM SCHWEICH,12
2014-11-04,02,05,STATE AUDITOR,ABSENTEE,SEAN OTOOLE,5
2014-11-04,02,05,STATE AUDITOR,ABSENTEE,RODNEY FARTHING,3
2014-11-04,02,05,STATE AUDITOR,PROVISIONAL,TOM SCHWEICH,0
2014-11-04,02,05,STATE AUDITOR,PROVISIONAL,SEAN OTOOLE,0
2014-11-04,02,05,STATE AUDITOR,PROVISIONAL,RODNEY FARTHING,0
2014-11-04,02,05,STATE AUDITOR,HOUSE VOTES,TOM SCHWEICH,0
2014-11-04,02,05,STATE AUDITOR,HOUSE VOTES,SEAN OTOOLE,0
