ward,precinct,registered,polling,absentee,provisional,house,total
01,01,995,268,20,0,0,288
01,02,1112,292,31,0,0,323
01,03,1270,319,34,2,1,356
01,04,887,293,10,0,0,303
01,05,1066,341,27,0,0,368
01,06,1234,336,37,0,0,373
01,07,126,34,3,0,0,37
02,01,285,73,5,0,0,78
02,02,285,48,2,0,0,50
02,03,1119,299,16,0,0,315
02,04,739,203,12,0,0,215
02,05,1087,402,34,0,0,436
02,06,13,1,1,0,0,2
02,07,1057,410,40,0,0,450
02,08,1338,331,17,0,0,348
03,01,280,91,4,0,0,95
03,02,906,302,18,0,0,320
03,03,665,151,18,0,0,169
03,04,843,196,7,0,0,203
03,05,656,148,13,0,0,161
03,06,781,178,16,0,0,194
03,07,986,240,10,0,0,250
03,08,585,145,10,0,0,155
03,09,490,111,23,0,0,134
04,01,713,183,33,0,0,216
04,02,1639,395,26,0,0,421
04,03,620,160,6,0,0,166
04,04,960,272,18,0,0,290
04,05,770,197,12,0,0,209
04,06,559,118,8,0,0,126
04,07,795,242,17,0,0,259
04,08,177,43,3,0,0,46
04,09,149,38,1,0,0,39
04,10,240,65,4,0,0,69
05,01,531,131,28,0,0,159
05,02,556,133,7,0,0,140
05,03,800,214,46,0,0,260
05,04,492,147,7,0,0,154
05,05,716,182,6,0,0,188
05,06,951,228,27,10,1,266
05,07,875,227,22,0,0,249
05,08,404,61,16,0,0,77
06,01,795,304,13,1,0,318
06,02,735,334,16,0,0,350
06,03,952,327,6,0,0,333
06,04,994,457,17,0,0,474
06,05,408,161,14,0,0,175
06,06,833,287,19,0,0,306
06,07,1244,485,19,0,0,504
06,08,969,257,42,0,0,299
06,09,133,46,2,1,0,49
07,01,624,231,10,0,0,241
07,02,569,204,4,0,0,208
07,03,533,224,10,0,0,234
07,04,1317,388,27,2,0,417
07,05,1440,506,24,0,0,530
07,06,1670,561,19,0,0,580
08,01,904,394,10,1,0,405
08,02,736,263,11,0,0,274
08,03,577,218,9,2,0,229
08,04,1302,601,17,1,0,619
08,05,1372,536,31,0,0,567
08,06,78,19,0,0,0,19
08,07,476,188,14,0,1,203
08,08,791,358,25,0,0,383
08,09,850,318,16,0,0,334
09,01,1006,254,18,0,0,272
09,02,1278,308,22,2,0,332
09,03,763,304,5,1,0,310
09,04,554,217,9,0,0,226
09,05,664,232,5,1,0,238
09,06,833,185,10,0,0,195
09,07,68,12,2,0,0,14
09,08,350,100,4,0,0,104
09,09,284,114,4,0,0,118
10,01,1117,412,18,0,1,431
10,02,999,365,18,0,0,383
10,03,888,322,9,0,0,331
10,04,1060,357,11,0,0,368
10,05,1002,283,7,0,0,290
10,06,170,70,2,0,0,72
10,07,997,294,10,1,0,305
10,09,36,8,1,0,0,9
10,10,144,51,0,0,0,51
11,01,735,166,6,0,0,172
11,02,1038,427,13,0,0,440
11,03,771,143,7,0,0,150
11,04,1141,353,26,0,0,379
11,05,1099,280,49,0,0,329
11,06,970,284,15,0,0,299
12,01,697,229,8,0,0,237
12,02,1444,509,33,0,0,542
12,03,712,269,9,0,0,278
12,04,1282,487,16,0,0,503
12,05,1460,524,25,0,1,550
12,06,1548,517,34,0,0,551
12,08,80,22,0,0,0,22
12,09,46,15,0,0,0,15
13,01,1481,465,38,0,0,503
13,02,1377,510,23,0,0,533
13,03,1080,266,16,0,0,282
13,04,1211,474,9,0,0,483
13,06,1121,285,13,0,0,298
13,07,54,19,1,0,0,20
14,01,861,342,16,0,0,358
14,02,796,220,9,0,0,229
14,03,901,289,22,0,0,311
14,04,1211,428,13,0,0,441
14,05,559,134,2,0,0,136
14,06,998,295,9,0,0,304
14,07,86,22,2,0,0,24
14,08,53,23,0,0,0,23
14,09,368,71,9,0,0,80
15,01,1075,398,18,0,0,416
15,02,1348,567,19,0,0,586
15,03,1524,564,22,0,0,586
15,04,838,183,5,0,0,188
15,05,1134,378,24,0,0,402
15,06,634,161,5,0,0,166
15,07,4,1,0,0,0,1
16,01,1036,403,24,1,0,428
16,02,1126,482,41,0,0,523
16,03,1129,458,15,0,0,473
16,04,1173,494,18,0,0,512
16,05,1103,412,24,0,0,436
16,06,951,441,13,0,0,454
16,07,946,393,22,0,1,416
16,08,435,142,8,0,0,150
17,01,570,188,6,0,0,194
17,02,427,142,5,0,0,147
17,03,65,132,2,1,0,135
17,04,1093,309,50,0,0,359
17,05,1584,643,42,0,0,685
17,06,1133,268,25,1,0,294
17,07,30,4,1,0,0,5
17,08,938,332,22,0,0,354
18,01,1276,408,76,0,0,484
18,02,909,262,17,0,0,279
18,03,206,68,1,0,0,69
18,04,978,301,15,0,0,316
