ward,precinct,registered,polling,absentee,provisional,house,total
01,01,972,520,50,1,0,571
01,02,1065,571,73,0,0,644
01,03,1219,661,67,1,0,729
01,04,905,472,36,0,0,508
01,05,1060,577,85,1,0,663
01,06,1254,683,121,5,0,809
01,07,113,82,7,0,0,89
02,01,272,124,11,1,0,136
02,02,261,113,8,0,0,121
02,03,1079,624,59,1,0,684
02,04,658,380,32,0,0,412
02,05,1107,672,99,0,0,771
02,06,14,2,2,0,0,4
02,07,1066,600,106,0,1,707
02,08,1284,708,64,0,1,773
03,01,302,221,9,1,0,231
03,02,909,486,60,0,0,546
03,03,626,299,60,0,2,361
03,04,873,484,31,0,0,515
03,05,635,327,30,0,1,358
03,06,663,331,40,0,0,371
03,07,920,491,36,0,1,528
03,08,563,268,31,1,0,300
03,09,522,259,62,0,1,322
04,01,658,342,60,2,0,404
04,02,1569,797,71,10,2,880
04,03,646,354,29,0,2,385
04,04,908,495,49,2,0,546
04,05,780,394,32,2,1,429
04,06,556,291,20,3,0,314
04,07,780,411,54,2,0,467
04,08,158,77,5,0,0,82
04,09,142,82,4,0,0,86
04,10,251,130,9,0,0,139
05,01,541,222,92,6,0,320
05,02,635,320,26,3,0,349
05,03,896,460,91,1,2,554
05,04,518,321,15,0,0,336
05,05,846,429,30,2,1,462
05,06,1069,608,89,0,0,697
05,07,1125,693,111,0,0,804
05,08,541,249,64,0,0,313
06,01,891,608,42,2,0,652
06,02,788,582,84,0,0,666
06,03,1070,699,43,0,0,742
06,04,1065,708,82,1,1,792
06,05,513,291,45,7,0,343
06,06,945,603,75,0,0,678
06,07,1436,996,89,1,1,1087
06,08,1021,554,92,2,0,648
06,09,136,89,4,0,0,93
07,01,668,475,25,3,0,503
07,02,683,478,36,0,1,515
07,03,611,430,91,0,1,522
07,04,2044,1283,204,5,0,1492
07,05,1622,1040,131,3,0,1174
07,06,2010,1395,133,0,1,1529
08,01,1145,826,69,0,0,895
08,02,816,559,42,2,0,603
08,03,718,487,41,0,0,528
08,04,1550,1136,90,1,1,1228
08,05,1567,1156,105,0,0,1261
08,06,81,34,3,0,0,37
08,07,567,391,57,0,1,449
08,08,954,645,88,0,0,733
08,09,960,651,55,0,0,706
09,01,1159,678,49,0,1,728
09,02,1312,793,44,0,0,837
09,03,863,625,63,1,0,689
09,04,656,478,29,0,0,507
09,05,770,529,41,0,0,570
09,06,942,538,30,0,0,568
09,07,73,30,4,0,0,34
09,08,427,272,19,1,0,292
09,09,347,246,23,0,1,270
10,01,1276,921,75,2,0,998
10,02,1075,773,60,1,1,835
10,03,990,697,50,0,0,747
10,04,1191,856,46,0,0,902
10,05,1152,759,38,0,0,797
10,06,189,140,8,0,2,150
10,07,1125,722,35,1,0,758
10,09,48,19,2,0,0,21
10,10,147,109,6,0,0,115
11,01,784,454,21,0,0,475
11,02,1131,845,63,0,0,908
11,03,782,443,17,0,0,460
11,04,1199,754,50,1,0,805
11,05,1218,690,89,1,1,781
11,06,1029,615,47,0,0,662
12,01,729,516,26,1,0,543
12,02,1596,1124,79,0,0,1203
12,03,809,572,40,0,0,612
12,04,1352,999,66,0,0,1065
12,05,1594,1204,77,1,0,1282
12,06,1655,1146,95,1,0,1242
12,08,83,56,2,0,0,58
12,09,50,33,0,0,0,33
13,01,1755,1121,69,1,0,1191
13,02,1518,1121,88,2,0,1211
13,03,1165,714,37,0,0,751
13,04,1309,984,45,0,0,1029
13,06,1252,757,44,0,0,801
13,07,65,12,3,1,0,16
14,01,959,744,47,0,0,791
14,02,815,535,24,0,0,559
14,03,1019,645,39,1,0,685
14,04,1327,942,53,1,1,997
14,05,599,315,20,0,0,335
14,06,1031,644,27,1,0,672
14,07,96,84,4,0,0,88
14,08,55,23,0,0,1,24
14,09,347,192,28,0,0,220
15,01,1210,838,96,2,0,936
15,02,1442,1057,100,10,0,1167
15,03,1679,1243,78,3,0,1324
15,04,929,510,20,0,0,530
15,05,1288,832,61,0,0,893
15,06,672,386,18,1,0,405
15,07,4,1,1,0,0,2
16,01,1110,861,69,1,0,931
16,02,1228,927,111,1,0,1039
16,03,1183,911,69,0,0,980
16,04,1250,1011,91,1,0,1103
16,05,1219,935,54,1,1,991
16,06,981,800,84,0,0,884
16,07,1021,792,72,2,1,867
16,08,510,371,26,0,0,397
17,01,660,357,28,0,0,385
17,02,617,377,65,0,1,443
17,03,61,78,3,4,0,85
17,04,1168,693,124,2,0,819
17,05,2085,1454,248,0,2,1704
17,06,1459,831,122,0,0,953
17,07,29,9,0,6,0,15
17,08,1170,723,116,0,1,840
18,01,1536,997,148,1,0,1146
18,02,1040,605,61,1,2,669
18,03,230,141,11,3,0,155
18,04,949,548,42,2,1,593
18,05,891,518,103,1,0,622
18,06,972,544,63,0,0,607
19,01,1119,727,66,1,1,795
19,02,60,27,4,0,0,31
19,03,334,209,15,3,0,227
19,04,725,473,49,0,0,522
19,05,1012,511,38,1,0,550
19,06,859,523,88,1,0,612
19,07,197,130,18,1,0,149
19,08,606,345,59,0,0,404
19,09,555,287,38,0,0,325
20,01,1085,599,19,3,0,621
20,02,602,367,18,0,0,385
20,03,1280,748,25,2,0,775
20,04,690,421,19,0,0,440
20,05,1247,702,34,1,0,737
20,06,219,123,7,1,0,131
20,07,343,204,20,0,0,224
21,01,598,324,33,0,0,357
21,02,877,508,44,0,1,553
21,03,826,418,54,0,0,472
21,04,944,540,87,0,2,629
21,05,731,415,40,0,0,455
21,06,851,498,50,0,0,548
21,07,536,316,26,0,0,342
21,08,694,368,42,0,0,410
21,09,845,478,47,1,1,527
22,01,491,288,14,0,1,303
22,02,1027,540,49,2,0,591
22,03,1168,644,52,0,1,697
22,04,822,471,52,1,0,524
22,05,755,422,33,0,1,456
22,06,1157,659,40,0,0,699
22,07,473,253,11,0,0,264
22,08,173,93,7,0,0,100
23,01,1517,1099,70,0,0,1169
23,02,1170,859,65,0,0,924
23,03,773,597,41,0,0,638
23,04,1177,879,58,1,0,938
23,05,898,676,53,0,1,730
23,06,904,675,24,0,1,700
23,07,930,691,65,0,0,756
23,08,896,678,41,0,1,720
23,09,285,203,11,0,0,214
24,01,1117,834,53,0,0,887
24,02,756,538,41,0,0,579
24,03,880,583,40,3,0,626
24,04,1123,790,54,5,0,849
24,05,1133,821,44,4,0,869
24,06,1184,852,49,2,0,903
24,07,1088,767,48,2,0,817
24,08,356,253,20,0,0,273
25,01,1316,732,49,2,0,783
25,02,1385,824,54,0,0,878
25,03,833,457,23,1,0,481
25,04,1430,829,52,1,1,883
25,05,541,342,15,0,0,357
25,06,24,2,1,0,0,3
26,01,804,538,47,0,0,585
26,02,658,364,34,0,0,398
26,03,1926,1218,149,0,1,1368
26,04,1311,704,147,0,0,851
26,05,1081,656,57,0,1,714
26,06,1060,633,90,0,2,725
27,01,1104,617,77,2,0,696
27,02,815,446,16,3,0,465
27,03,1009,560,25,2,1,588
27,04,833,434,31,1,0,466
27,05,674,371,35,0,0,406
27,06,1202,545,49,0,0,594
