date,ward,precinct,registered,polling,absentee,provisional,house,total
2016-04-05,01,01,927,175,22,0,0,197
2016-04-05,01,02,995,162,26,0,0,188
2016-04-05,01,03,1186,188,24,0,0,212
2016-04-05,01,04,862,155,7,0,0,162
2016-04-05,01,05,1005,215,31,0,0,246
2016-04-05,01,06,1141,218,46,0,0,264
2016-04-05,01,07,107,23,3,0,0,26
2016-04-05,02,01,255,48,5,0,0,53
2016-04-05,02,02,246,22,3,0,0,25
2016-04-05,02,03,995,183,15,0,0,198
2016-04-05,02,04,635,119,6,0,0,125
2016-04-05,02,05,1052,258,25,0,0,283
2016-04-05,02,06,12,0,0,0,0,0
2016-04-05,02,07,1021,265,22,0,0,287
2016-04-05,02,08,1203,237,15,0,0,252
2016-04-05,03,01,271,69,1,0,0,70
2016-04-05,03,02,890,168,13,0,0,181
2016-04-05,03,03,606,84,18,0,0,102
2016-04-05,03,04,777,89,7,0,0,96
2016-04-05,03,05,604,72,7,0,0,79
2016-04-05,03,06,629,117,11,0,0,128
2016-04-05,03,07,862,152,11,0,0,163
2016-04-05,03,08,535,69,8,0,0,77
2016-04-05,03,09,480,83,22,0,0,105
2016-04-05,04,01,613,108,24,0,0,132
2016-04-05,04,02,1535,242,21,0,0,263
2016-04-05,04,03,608,92,6,0,0,98
2016-04-05,04,04,887,185,14,0,0,199
2016-04-05,04,05,732,108,8,0,0,116
2016-04-05,04,06,517,79,6,0,0,85
2016-04-05,04,07,741,151,20,0,0,171
2016-04-05,04,08,152,27,4,0,0,31
2016-04-05,04,09,133,27,1,0,0,28
2016-04-05,04,10,233,29,5,0,0,34
2016-04-05,05,01,519,62,29,0,0,91
2016-04-05,05,02,568,81,4,0,0,85
2016-04-05,05,03,786,108,55,0,0,163
2016-04-05,05,04,455,84,6,0,0,90
2016-04-05,05,05,735,93,8,0,0,101
2016-04-05,05,06,897,151,22,0,0,173
2016-04-05,05,07,841,158,11,0,1,170
2016-04-05,05,08,386,65,18,0,0,83
2016-04-05,06,01,809,215,10,0,0,225
2016-04-05,06,02,698,313,17,0,0,330
2016-04-05,06,03,931,246,4,0,0,250
2016-04-05,06,04,997,334,19,0,0,353
2016-04-05,06,05,379,135,11,0,0,146
2016-04-05,06,06,813,176,9,0,0,185
2016-04-05,06,07,1253,392,23,0,0,415
2016-04-05,06,08,925,150,47,0,0,197
2016-04-05,06,09,122,34,1,0,0,35
2016-04-05,07,01,589,174,5,0,0,179
2016-04-05,07,02,572,171,2,0,0,173
2016-04-05,07,03,531,195,10,0,0,205
2016-04-05,07,04,1433,311,27,0,0,338
2016-04-05,07,05,1406,333,25,0,0,358
2016-04-05,07,06,1644,428,23,0,0,451
2016-04-05,08,01,983,346,9,0,0,355
2016-04-05,08,02,741,198,8,0,0,206
2016-04-05,08,03,638,194,10,0,0,204
2016-04-05,08,04,1393,468,21,0,0,489
2016-04-05,08,05,1384,467,19,0,0,486
2016-04-05,08,06,69,14,0,0,0,14
2016-04-05,08,07,479,168,13,0,0,181
2016-04-05,08,08,846,299,16,0,0,315
2016-04-05,08,09,850,273,18,0,0,291
2016-04-05,09,01,1012,194,10,0,0,204
2016-04-05,09,02,1181,218,20,0,0,238
