ward,precinct,race,type,candidate,votes
01,01,PRESIDENT,Polling,CLINTON/KAINE,495
01,01,PRESIDENT,Polling,TRUMP/PENCE,10
01,01,PRESIDENT,Polling,JOHNSON/WELD,2
01,01,PRESIDENT,ABSENTEE,CLINTON/KAINE,48
01,01,PRESIDENT,ABSENTEE,TRUMP/PENCE,0
01,01,PRESIDENT,ABSENTEE,JOHNSON/WELD,1
01,01,PRESIDENT,PROVISIONAL,CLINTON/KAINE,1
01,01,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
01,01,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
01,01,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
01,01,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
01,01,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
01,01,PRESIDENT,Total,CLINTON/KAINE,544
01,01,PRESIDENT,Total,TRUMP/PENCE,10
01,01,PRESIDENT,Total,JOHNSON/WELD,3
01,02,PRESIDENT,Polling,CLINTON/KAINE,542
01,02,PRESIDENT,Polling,TRUMP/PENCE,6
01,02,PRESIDENT,Polling,JOHNSON/WELD,5
01,02,PRESIDENT,ABSENTEE,CLINTON/KAINE,71
01,02,PRESIDENT,ABSENTEE,TRUMP/PENCE,1
01,02,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
01,02,PRESIDENT,PROVISIONAL,CLINTON/KAINE,0
01,02,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
01,02,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
01,02,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
01,02,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
01,02,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
01,02,PRESIDENT,Total,CLINTON/KAINE,613
01,02,PRESIDENT,Total,TRUMP/PENCE,7
01,02,PRESIDENT,Total,JOHNSON/WELD,5
01,03,PRESIDENT,Polling,CLINTON/KAINE,629
01,03,PRESIDENT,Polling,TRUMP/PENCE,17
01,03,PRESIDENT,Polling,JOHNSON/WELD,3
01,03,PRESIDENT,ABSENTEE,CLINTON/KAINE,66
01,03,PRESIDENT,ABSENTEE,TRUMP/PENCE,0
01,03,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
01,03,PRESIDENT,PROVISIONAL,CLINTON/KAINE,1
01,03,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
01,03,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
01,03,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
01,03,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
01,03,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
01,03,PRESIDENT,Total,CLINTON/KAINE,696
01,03,PRESIDENT,Total,TRUMP/PENCE,17
01,03,PRESIDENT,Total,JOHNSON/WELD,3
01,04,PRESIDENT,Polling,CLINTON/KAINE,458
01,04,PRESIDENT,Polling,TRUMP/PENCE,5
01,04,PRESIDENT,Polling,JOHNSON/WELD,1
01,04,PRESIDENT,ABSENTEE,CLINTON/KAINE,36
01,04,PRESIDENT,ABSENTEE,TRUMP/PENCE,0
01,04,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
01,04,PRESIDENT,PROVISIONAL,CLINTON/KAINE,0
01,04,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
01,04,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
01,04,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
01,04,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
01,04,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
01,04,PRESIDENT,Total,CLINTON/KAINE,494
01,04,PRESIDENT,Total,TRUMP/PENCE,5
01,04,PRESIDENT,Total,JOHNSON/WELD,1
01,05,PRESIDENT,Polling,CLINTON/KAINE,552
01,05,PRESIDENT,Polling,TRUMP/PENCE,5
01,05,PRESIDENT,Polling,JOHNSON/WELD,6
01,05,PRESIDENT,ABSENTEE,CLINTON/KAINE,80
01,05,PRESIDENT,ABSENTEE,TRUMP/PENCE,2
01,05,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
01,05,PRESIDENT,PROVISIONAL,CLINTON/KAINE,1
01,05,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
01,05,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
01,05,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
01,05,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
01,05,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
01,05,PRESIDENT,Total,CLINTON/KAINE,633
01,05,PRESIDENT,Total,TRUMP/PENCE,7
01,05,PRESIDENT,Total,JOHNSON/WELD,6
01,06,PRESIDENT,Polling,CLINTON/KAINE,657
01,06,PRESIDENT,Polling,TRUMP/PENCE,11
01,06,PRESIDENT,Polling,JOHNSON/WELD,2
01,06,PRESIDENT,ABSENTEE,CLINTON/KAINE,106
01,06,PRESIDENT,ABSENTEE,TRUMP/PENCE,12
01,06,PRESIDENT,ABSENTEE,JOHNSON/WELD,1
01,06,PRESIDENT,PROVISIONAL,CLINTON/KAINE,4
01,06,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
01,06,PRESIDENT,PROVISIONAL,JOHNSON/WELD,1
01,06,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
01,06,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
01,06,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
01,06,PRESIDENT,Total,CLINTON/KAINE,767
01,06,PRESIDENT,Total,TRUMP/PENCE,23
01,06,PRESIDENT,Total,JOHNSON/WELD,4
01,07,PRESIDENT,Polling,CLINTON/KAINE,77
01,07,PRESIDENT,Polling,TRUMP/PENCE,2
01,07,PRESIDENT,Polling,JOHNSON/WELD,0
01,07,PRESIDENT,ABSENTEE,CLINTON/KAINE,7
01,07,PRESIDENT,ABSENTEE,TRUMP/PENCE,0
01,07,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
01,07,PRESIDENT,PROVISIONAL,CLINTON/KAINE,0
01,07,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
01,07,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
01,07,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
01,07,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
01,07,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
01,07,PRESIDENT,Total,CLINTON/KAINE,84
01,07,PRESIDENT,Total,TRUMP/PENCE,2
01,07,PRESIDENT,Total,JOHNSON/WELD,0
02,01,PRESIDENT,Polling,CLINTON/KAINE,115
02,01,PRESIDENT,Polling,TRUMP/PENCE,6
02,01,PRESIDENT,Polling,JOHNSON/WELD,0
02,01,PRESIDENT,ABSENTEE,CLINTON/KAINE,9
02,01,PRESIDENT,ABSENTEE,TRUMP/PENCE,2
02,01,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
02,01,PRESIDENT,PROVISIONAL,CLINTON/KAINE,1
02,01,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
02,01,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
02,01,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
02,01,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
02,01,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
02,01,PRESIDENT,Total,CLINTON/KAINE,125
02,01,PRESIDENT,Total,TRUMP/PENCE,8
02,01,PRESIDENT,Total,JOHNSON/WELD,0
02,02,PRESIDENT,Polling,CLINTON/KAINE,108
02,02,PRESIDENT,Polling,TRUMP/PENCE,2
02,02,PRESIDENT,Polling,JOHNSON/WELD,1
02,02,PRESIDENT,ABSENTEE,CLINTON/KAINE,5
02,02,PRESIDENT,ABSENTEE,TRUMP/PENCE,1
02,02,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
02,02,PRESIDENT,PROVISIONAL,CLINTON/KAINE,0
02,02,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
02,02,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
02,02,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
02,02,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
02,02,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
02,02,PRESIDENT,Total,CLINTON/KAINE,113
02,02,PRESIDENT,Total,TRUMP/PENCE,3
02,02,PRESIDENT,Total,JOHNSON/WELD,1
02,03,PRESIDENT,Polling,CLINTON/KAINE,568
02,03,PRESIDENT,Polling,TRUMP/PENCE,36
02,03,PRESIDENT,Polling,JOHNSON/WELD,4
02,03,PRESIDENT,ABSENTEE,CLINTON/KAINE,54
02,03,PRESIDENT,ABSENTEE,TRUMP/PENCE,4
02,03,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
02,03,PRESIDENT,PROVISIONAL,CLINTON/KAINE,1
02,03,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
02,03,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
02,03,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
02,03,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
02,03,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
02,03,PRESIDENT,Total,CLINTON/KAINE,623
02,03,PRESIDENT,Total,TRUMP/PENCE,40
02,03,PRESIDENT,Total,JOHNSON/WELD,4
02,04,PRESIDENT,Polling,CLINTON/KAINE,355
02,04,PRESIDENT,Polling,TRUMP/PENCE,12
02,04,PRESIDENT,Polling,JOHNSON/WELD,3
02,04,PRESIDENT,ABSENTEE,CLINTON/KAINE,30
02,04,PRESIDENT,ABSENTEE,TRUMP/PENCE,2
02,04,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
02,04,PRESIDENT,PROVISIONAL,CLINTON/KAINE,0
02,04,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
02,04,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
02,04,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
02,04,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
02,04,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
02,04,PRESIDENT,Total,CLINTON/KAINE,385
02,04,PRESIDENT,Total,TRUMP/PENCE,14
02,04,PRESIDENT,Total,JOHNSON/WELD,3
02,05,PRESIDENT,Polling,CLINTON/KAINE,647
02,05,PRESIDENT,Polling,TRUMP/PENCE,8
02,05,PRESIDENT,Polling,JOHNSON/WELD,6
02,05,PRESIDENT,ABSENTEE,CLINTON/KAINE,95
02,05,PRESIDENT,ABSENTEE,TRUMP/PENCE,2
02,05,PRESIDENT,ABSENTEE,JOHNSON/WELD,1
02,05,PRESIDENT,PROVISIONAL,CLINTON/KAINE,0
02,05,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
02,05,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
02,05,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
02,05,PRESIDENT,HOUSE VOTES,TRUMP/PENCE,0
02,05,PRESIDENT,HOUSE VOTES,JOHNSON/WELD,0
02,05,PRESIDENT,Total,CLINTON/KAINE,742
02,05,PRESIDENT,Total,TRUMP/PENCE,10
02,05,PRESIDENT,Total,JOHNSON/WELD,7
02,06,PRESIDENT,Polling,CLINTON/KAINE,2
02,06,PRESIDENT,Polling,TRUMP/PENCE,0
02,06,PRESIDENT,Polling,JOHNSON/WELD,0
02,06,PRESIDENT,ABSENTEE,CLINTON/KAINE,2
02,06,PRESIDENT,ABSENTEE,TRUMP/PENCE,0
02,06,PRESIDENT,ABSENTEE,JOHNSON/WELD,0
02,06,PRESIDENT,PROVISIONAL,CLINTON/KAINE,0
02,06,PRESIDENT,PROVISIONAL,TRUMP/PENCE,0
02,06,PRESIDENT,PROVISIONAL,JOHNSON/WELD,0
02,06,PRESIDENT,HOUSE VOTES,CLINTON/KAINE,0
