date,ward,precinct,race,type,candidate,votes
2015-04-07,01,05,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,01,05,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,01,05,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,01,05,PRES OF BOA,Total,LEWIS REED,110
2015-04-07,01,05,PRES OF BOA,Total,ERIK SHELQUIST,2
2015-04-07,01,05,PRES OF BOA,Total,JEFFREY SCHAEFER,1
2015-04-07,01,06,PRES OF BOA,Polling,LEWIS REED,84
2015-04-07,01,06,PRES OF BOA,Polling,ERIK SHELQUIST,3
2015-04-07,01,06,PRES OF BOA,Polling,JEFFREY SCHAEFER,4
2015-04-07,01,06,PRES OF BOA,ABSENTEE,LEWIS REED,15
2015-04-07,01,06,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,1
2015-04-07,01,06,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,01,06,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,01,06,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,01,06,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,01,06,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,01,06,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,01,06,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,01,06,PRES OF BOA,Total,LEWIS REED,99
2015-04-07,01,06,PRES OF BOA,Total,ERIK SHELQUIST,4
2015-04-07,01,06,PRES OF BOA,Total,JEFFREY SCHAEFER,4
2015-04-07,01,07,PRES OF BOA,Polling,LEWIS REED,6
2015-04-07,01,07,PRES OF BOA,Polling,ERIK SHELQUIST,0
2015-04-07,01,07,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
2015-04-07,01,07,PRES OF BOA,ABSENTEE,LEWIS REED,1
2015-04-07,01,07,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,01,07,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,01,07,PRES OF BOA,PROVISIONAL,LEWIS REED,0
