date,ward,precinct,race,type,candidate,votes
2015-03-03,01,07,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,01,07,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,01,07,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,01,07,PRES OF BOA DEM,Total,LEWIS REED,10
2015-03-03,01,07,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,4
2015-03-03,02,01,PRES OF BOA DEM,Polling,LEWIS REED,17
2015-03-03,02,01,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,5
2015-03-03,02,01,PRES OF BOA DEM,ABSENTEE,LEWIS REED,4
2015-03-03,02,01,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
2015-03-03,02,01,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,02,01,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,02,01,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,02,01,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,02,01,PRES OF BOA DEM,Total,LEWIS REED,21
2015-03-03,02,01,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,5
2015-03-03,02,02,PRES OF BOA DEM,Polling,LEWIS REED,13
2015-03-03,02,02,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,1
2015-03-03,02,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,3
2015-03-03,02,02,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
2015-03-03,02,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,02,02,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,02,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,02,02,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,02,02,PRES OF BOA DEM,Total,LEWIS REED,16
2015-03-03,02,02,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,1
2015-03-03,02,03,PRES OF BOA DEM,Polling,LEWIS REED,78
2015-03-03,02,03,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,18
2015-03-03,02,03,PRES OF BOA DEM,ABSENTEE,LEWIS REED,4
2015-03-03,02,03,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
2015-03-03,02,03,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,02,03,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,02,03,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,02,03,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,02,03,PRES OF BOA DEM,Total,LEWIS REED,82
2015-03-03,02,03,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,18
2015-03-03,02,04,PRES OF BOA DEM,Polling,LEWIS REED,58
2015-03-03,02,04,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,11
2015-03-03,02,04,PRES OF BOA DEM,ABSENTEE,LEWIS REED,5
2015-03-03,02,04,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,1
2015-03-03,02,04,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,02,04,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,02,04,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,02,04,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,02,04,PRES OF BOA DEM,Total,LEWIS REED,63
2015-03-03,02,04,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,12
2015-03-03,02,05,PRES OF BOA DEM,Polling,LEWIS REED,156
2015-03-03,02,05,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,65
2015-03-03,02,05,PRES OF BOA DEM,ABSENTEE,LEWIS REED,33
2015-03-03,02,05,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,1
2015-03-03,02,05,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,02,05,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,02,05,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,02,05,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,02,05,PRES OF BOA DEM,Total,LEWIS REED,189
2015-03-03,02,05,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,66
2015-03-03,02,06,PRES OF BOA DEM,Polling,LEWIS REED,0
2015-03-03,02,06,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,0
2015-03-03,02,06,PRES OF BOA DEM,ABSENTEE,LEWIS REED,0
2015-03-03,02,06,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
2015-03-03,02,06,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,02,06,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,02,06,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,02,06,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,02,06,PRES OF BOA DEM,Total,LEWIS REED,0
2015-03-03,02,06,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,0
2015-03-03,02,07,PRES OF BOA DEM,Polling,LEWIS REED,130
2015-03-03,02,07,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,55
2015-03-03,02,07,PRES OF BOA DEM,ABSENTEE,LEWIS REED,30
2015-03-03,02,07,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,6
2015-03-03,02,07,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,02,07,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,02,07,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,02,07,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,02,07,PRES OF BOA DEM,Total,LEWIS REED,160
2015-03-03,02,07,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,61
2015-03-03,02,08,PRES OF BOA DEM,Polling,LEWIS REED,103
2015-03-03,02,08,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,51
2015-03-03,02,08,PRES OF BOA DEM,ABSENTEE,LEWIS REED,8
2015-03-03,02,08,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,2
2015-03-03,02,08,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,02,08,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,02,08,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,02,08,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,02,08,PRES OF BOA DEM,Total,LEWIS REED,111
2015-03-03,02,08,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,53
2015-03-03,03,01,PRES OF BOA DEM,Polling,LEWIS REED,7
2015-03-03,03,01,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,1
2015-03-03,03,01,PRES OF BOA DEM,ABSENTEE,LEWIS REED,1
2015-03-03,03,01,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,1
2015-03-03,03,01,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,03,01,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,03,01,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2015-03-03,03,01,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
2015-03-03,03,01,PRES OF BOA DEM,Total,LEWIS REED,8
2015-03-03,03,01,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,2
2015-03-03,03,02,PRES OF BOA DEM,Polling,LEWIS REED,40
2015-03-03,03,02,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,4
2015-03-03,03,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,7
2015-03-03,03,02,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,3
2015-03-03,03,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2015-03-03,03,02,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
2015-03-03,03,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
