ward,precinct,race,type,candidate,votes
02,01,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
02,01,PRES OF BOA DEM,Total,LEWIS REED,21
02,01,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,5
02,02,PRES OF BOA DEM,Polling,LEWIS REED,13
02,02,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,1
02,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,3
02,02,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
02,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
02,02,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
02,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
02,02,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
02,02,PRES OF BOA DEM,Total,LEWIS REED,16
02,02,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,1
02,03,PRES OF BOA DEM,Polling,LEWIS REED,78
02,03,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,18
02,03,PRES OF BOA DEM,ABSENTEE,LEWIS REED,4
02,03,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
02,03,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
02,03,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
02,03,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
02,03,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
02,03,PRES OF BOA DEM,Total,LEWIS REED,82
02,03,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,18
02,04,PRES OF BOA DEM,Polling,LEWIS REED,58
02,04,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,11
02,04,PRES OF BOA DEM,ABSENTEE,LEWIS REED,5
02,04,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,1
02,04,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
02,04,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
02,04,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
02,04,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
02,04,PRES OF BOA DEM,Total,LEWIS REED,63
02,04,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,12
02,05,PRES OF BOA DEM,Polling,LEWIS REED,156
02,05,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,65
02,05,PRES OF BOA DEM,ABSENTEE,LEWIS REED,33
02,05,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,1
02,05,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
02,05,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
02,05,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
02,05,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
02,05,PRES OF BOA DEM,Total,LEWIS REED,189
02,05,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,66
02,06,PRES OF BOA DEM,Polling,LEWIS REED,0
02,06,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,0
02,06,PRES OF BOA DEM,ABSENTEE,LEWIS REED,0
02,06,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
02,06,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
02,06,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
02,06,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
02,06,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
02,06,PRES OF BOA DEM,Total,LEWIS REED,0
02,06,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,0
02,07,PRES OF BOA DEM,Polling,LEWIS REED,130
02,07,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,55
02,07,PRES OF BOA DEM,ABSENTEE,LEWIS REED,30
02,07,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,6
02,07,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
02,07,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
02,07,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
02,07,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
02,07,PRES OF BOA DEM,Total,LEWIS REED,160
02,07,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,61
02,08,PRES OF BOA DEM,Polling,LEWIS REED,103
02,08,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,51
02,08,PRES OF BOA DEM,ABSENTEE,LEWIS REED,8
02,08,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,2
02,08,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
02,08,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
02,08,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
02,08,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
02,08,PRES OF BOA DEM,Total,LEWIS REED,111
02,08,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,53
03,01,PRES OF BOA DEM,Polling,LEWIS REED,7
03,01,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,1
03,01,PRES OF BOA DEM,ABSENTEE,LEWIS REED,1
03,01,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,1
03,01,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
03,01,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
03,01,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
03,01,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
03,01,PRES OF BOA DEM,Total,LEWIS REED,8
03,01,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,2
03,02,PRES OF BOA DEM,Polling,LEWIS REED,40
03,02,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,4
03,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,7
03,02,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,3
03,02,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
03,02,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
03,02,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
03,02,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
03,02,PRES OF BOA DEM,Total,LEWIS REED,47
03,02,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,7
03,03,PRES OF BOA DEM,Polling,LEWIS REED,23
03,03,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,1
03,03,PRES OF BOA DEM,ABSENTEE,LEWIS REED,7
03,03,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,1
03,03,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
03,03,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
03,03,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
03,03,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
03,03,PRES OF BOA DEM,Total,LEWIS REED,30
03,03,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,2
03,04,PRES OF BOA DEM,Polling,LEWIS REED,16
03,04,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,3
03,04,PRES OF BOA DEM,ABSENTEE,LEWIS REED,3
03,04,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
03,04,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
03,04,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
03,04,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
03,04,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
03,04,PRES OF BOA DEM,Total,LEWIS REED,19
03,04,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,3
03,05,PRES OF BOA DEM,Polling,LEWIS REED,14
03,05,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,3
03,05,PRES OF BOA DEM,ABSENTEE,LEWIS REED,6
03,05,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,2
03,05,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
03,05,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
03,05,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
03,05,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
03,05,PRES OF BOA DEM,Total,LEWIS REED,20
03,05,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,5
03,06,PRES OF BOA DEM,Polling,LEWIS REED,29
03,06,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,0
03,06,PRES OF BOA DEM,ABSENTEE,LEWIS REED,7
03,06,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,1
03,06,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
03,06,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
03,06,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
03,06,PRES OF BOA DEM,HOUSE VOTES,JIMMIE MATTHEWS,0
03,06,PRES OF BOA DEM,Total,LEWIS REED,36
03,06,PRES OF BOA DEM,Total,JIMMIE MATTHEWS,1
03,07,PRES OF BOA DEM,Polling,LEWIS REED,31
03,07,PRES OF BOA DEM,Polling,JIMMIE MATTHEWS,3
03,07,PRES OF BOA DEM,ABSENTEE,LEWIS REED,3
03,07,PRES OF BOA DEM,ABSENTEE,JIMMIE MATTHEWS,0
03,07,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
03,07,PRES OF BOA DEM,PROVISIONAL,JIMMIE MATTHEWS,0
