ward,precinct,race,type,candidate,votes
01,06,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
01,06,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
01,06,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
01,06,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
01,06,PRES OF BOA,Total,LEWIS REED,99
01,06,PRES OF BOA,Total,ERIK SHELQUIST,4
01,06,PRES OF BOA,Total,JEFFREY SCHAEFER,4
01,07,PRES OF BOA,Polling,LEWIS REED,6
01,07,PRES OF BOA,Polling,ERIK SHELQUIST,0
01,07,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
01,07,PRES OF BOA,ABSENTEE,LEWIS REED,1
01,07,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
01,07,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
01,07,PRES OF BOA,PROVISIONAL,LEWIS REED,0
01,07,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
01,07,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
01,07,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
01,07,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
01,07,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
01,07,PRES OF BOA,Total,LEWIS REED,7
01,07,PRES OF BOA,Total,ERIK SHELQUIST,0
01,07,PRES OF BOA,Total,JEFFREY SCHAEFER,0
02,01,PRES OF BOA,Polling,LEWIS REED,10
02,01,PRES OF BOA,Polling,ERIK SHELQUIST,0
02,01,PRES OF BOA,Polling,JEFFREY SCHAEFER,1
02,01,PRES OF BOA,ABSENTEE,LEWIS REED,5
02,01,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
02,01,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
02,01,PRES OF BOA,PROVISIONAL,LEWIS REED,0
02,01,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
02,01,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
02,01,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
02,01,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
02,01,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
02,01,PRES OF BOA,Total,LEWIS REED,15
02,01,PRES OF BOA,Total,ERIK SHELQUIST,0
02,01,PRES OF BOA,Total,JEFFREY SCHAEFER,1
02,02,PRES OF BOA,Polling,LEWIS REED,9
02,02,PRES OF BOA,Polling,ERIK SHELQUIST,0
02,02,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
02,02,PRES OF BOA,ABSENTEE,LEWIS REED,2
02,02,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
02,02,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
02,02,PRES OF BOA,PROVISIONAL,LEWIS REED,0
02,02,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
02,02,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
02,02,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
02,02,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
02,02,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
02,02,PRES OF BOA,Total,LEWIS REED,11
02,02,PRES OF BOA,Total,ERIK SHELQUIST,0
02,02,PRES OF BOA,Total,JEFFREY SCHAEFER,0
02,03,PRES OF BOA,Polling,LEWIS REED,105
02,03,PRES OF BOA,Polling,ERIK SHELQUIST,4
02,03,PRES OF BOA,Polling,JEFFREY SCHAEFER,3
02,03,PRES OF BOA,ABSENTEE,LEWIS REED,5
02,03,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,1
02,03,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
02,03,PRES OF BOA,PROVISIONAL,LEWIS REED,0
02,03,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
02,03,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
02,03,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
02,03,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
02,03,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
02,03,PRES OF BOA,Total,LEWIS REED,110
02,03,PRES OF BOA,Total,ERIK SHELQUIST,5
02,03,PRES OF BOA,Total,JEFFREY SCHAEFER,3
02,04,PRES OF BOA,Polling,LEWIS REED,75
02,04,PRES OF BOA,Polling,ERIK SHELQUIST,3
02,04,PRES OF BOA,Polling,JEFFREY SCHAEFER,1
02,04,PRES OF BOA,ABSENTEE,LEWIS REED,4
02,04,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
02,04,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
02,04,PRES OF BOA,PROVISIONAL,LEWIS REED,0
02,04,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
02,04,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
02,04,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
02,04,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
02,04,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
02,04,PRES OF BOA,Total,LEWIS REED,79
02,04,PRES OF BOA,Total,ERIK SHELQUIST,3
02,04,PRES OF BOA,Total,JEFFREY SCHAEFER,1
02,05,PRES OF BOA,Polling,LEWIS REED,189
02,05,PRES OF BOA,Polling,ERIK SHELQUIST,4
02,05,PRES OF BOA,Polling,JEFFREY SCHAEFER,4
02,05,PRES OF BOA,ABSENTEE,LEWIS REED,24
02,05,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,1
02,05,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
02,05,PRES OF BOA,PROVISIONAL,LEWIS REED,0
02,05,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
02,05,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
02,05,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
02,05,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
02,05,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
02,05,PRES OF BOA,Total,LEWIS REED,213
02,05,PRES OF BOA,Total,ERIK SHELQUIST,5
02,05,PRES OF BOA,Total,JEFFREY SCHAEFER,4
02,06,PRES OF BOA,Polling,LEWIS REED,8
02,06,PRES OF BOA,Polling,ERIK SHELQUIST,0
02,06,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
02,06,PRES OF BOA,ABSENTEE,LEWIS REED,0
02,06,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
02,06,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
02,06,PRES OF BOA,PROVISIONAL,LEWIS REED,0
02,06,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
02,06,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
02,06,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
02,06,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
02,06,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
02,06,PRES OF BOA,Total,LEWIS REED,8
02,06,PRES OF BOA,Total,ERIK SHELQUIST,0
02,06,PRES OF BOA,Total,JEFFREY SCHAEFER,2
02,07,PRES OF BOA,Polling,LEWIS REED,170
02,07,PRES OF BOA,Polling,ERIK SHELQUIST,6
02,07,PRES OF BOA,Polling,JEFFREY SCHAEFER,7
02,07,PRES OF BOA,ABSENTEE,LEWIS REED,22
02,07,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
02,07,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
02,07,PRES OF BOA,PROVISIONAL,LEWIS REED,0
02,07,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
02,07,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
02,07,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
02,07,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
02,07,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
02,07,PRES OF BOA,Total,LEWIS REED,192
02,07,PRES OF BOA,Total,ERIK SHELQUIST,6
02,07,PRES OF BOA,Total,JEFFREY SCHAEFER,7
02,08,PRES OF BOA,Polling,LEWIS REED,156
02,08,PRES OF BOA,Polling,ERIK SHELQUIST,0
02,08,PRES OF BOA,Polling,JEFFREY SCHAEFER,3
02,08,PRES OF BOA,ABSENTEE,LEWIS REED,18
02,08,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
02,08,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
02,08,PRES OF BOA,PROVISIONAL,LEWIS REED,0
02,08,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
02,08,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
02,08,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
02,08,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
02,08,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
02,08,PRES OF BOA,Total,LEWIS REED,174
02,08,PRES OF BOA,Total,ERIK SHELQUIST,0
02,08,PRES OF BOA,Total,JEFFREY SCHAEFER,3
03,01,PRES OF BOA,Polling,LEWIS REED,20
03,01,PRES OF BOA,Polling,ERIK SHELQUIST,0
03,01,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
03,01,PRES OF BOA,ABSENTEE,LEWIS REED,1
03,01,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
03,01,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
03,01,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,01,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,01,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,01,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,01,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,01,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,01,PRES OF BOA,Total,LEWIS REED,21
03,01,PRES OF BOA,Total,ERIK SHELQUIST,0
03,01,PRES OF BOA,Total,JEFFREY SCHAEFER,0
03,02,PRES OF BOA,Polling,LEWIS REED,86
03,02,PRES OF BOA,Polling,ERIK SHELQUIST,1
03,02,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
03,02,PRES OF BOA,ABSENTEE,LEWIS REED,8
