date,ward,precinct,race,type,candidate,votes
2012-11-06,01,01,PRESIDENT,Polling,OBAMA/BIDEN,687
2012-11-06,01,01,PRESIDENT,Polling,ROMNEY/RYAN,6
2012-11-06,01,01,PRESIDENT,Polling,JOHNSON/GRAY,1
2012-11-06,01,01,PRESIDENT,ABSENTEE,OBAMA/BIDEN,91
2012-11-06,01,01,PRESIDENT,ABSENTEE,ROMNEY/RYAN,0
2012-11-06,01,01,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
2012-11-06,01,01,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
2012-11-06,01,01,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
2012-11-06,01,01,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
2012-11-06,01,01,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
2012-11-06,01,01,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
2012-11-06,01,01,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
2012-11-06,01,01,PRESIDENT,Total,OBAMA/BIDEN,778
2012-11-06,01,01,PRESIDENT,Total,ROMNEY/RYAN,6
2012-11-06,01,01,PRESIDENT,Total,JOHNSON/GRAY,1
2012-11-06,01,02,PRESIDENT,Polling,OBAMA/BIDEN,701
2012-11-06,01,02,PRESIDENT,Polling,ROMNEY/RYAN,4
2012-11-06,01,02,PRESIDENT,Polling,JOHNSON/GRAY,1
2012-11-06,01,02,PRESIDENT,ABSENTEE,OBAMA/BIDEN,101
2012-11-06,01,02,PRESIDENT,ABSENTEE,ROMNEY/RYAN,0
2012-11-06,01,02,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
2012-11-06,01,02,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,5
2012-11-06,01,02,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
2012-11-06,01,02,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
2012-11-06,01,02,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
2012-11-06,01,02,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
2012-11-06,01,02,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
2012-11-06,01,02,PRESIDENT,Total,OBAMA/BIDEN,807
2012-11-06,01,02,PRESIDENT,Total,ROMNEY/RYAN,4
2012-11-06,01,02,PRESIDENT,Total,JOHNSON/GRAY,1
2012-11-06,01,03,PRESIDENT,Polling,OBAMA/BIDEN,882
2012-11-06,01,03,PRESIDENT,Polling,ROMNEY/RYAN,11
2012-11-06,01,03,PRESIDENT,Polling,JOHNSON/GRAY,2
2012-11-06,01,03,PRESIDENT,ABSENTEE,OBAMA/BIDEN,103
2012-11-06,01,03,PRESIDENT,ABSENTEE,ROMNEY/RYAN,1
2012-11-06,01,03,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
2012-11-06,01,03,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
2012-11-06,01,03,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
2012-11-06,01,03,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
2012-11-06,01,03,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
2012-11-06,01,03,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
2012-11-06,01,03,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
2012-11-06,01,03,PRESIDENT,Total,OBAMA/BIDEN,985
2012-11-06,01,03,PRESIDENT,Total,ROMNEY/RYAN,12
2012-11-06,01,03,PRESIDENT,Total,JOHNSON/GRAY,2
2012-11-06,01,04,PRESIDENT,Polling,OBAMA/BIDEN,645
2012-11-06,01,04,PRESIDENT,Polling,ROMNEY/RYAN,4
2012-11-06,01,04,PRESIDENT,Polling,JOHNSON/GRAY,1
2012-11-06,01,04,PRESIDENT,ABSENTEE,OBAMA/BIDEN,55
2012-11-06,01,04,PRESIDENT,ABSENTEE,ROMNEY/RYAN,0
2012-11-06,01,04,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
2012-11-06,01,04,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
2012-11-06,01,04,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
2012-11-06,01,04,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
2012-11-06,01,04,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
2012-11-06,01,04,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
2012-11-06,01,04,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
2012-11-06,01,04,PRESIDENT,Total,OBAMA/BIDEN,700
2012-11-06,01,04,PRESIDENT,Total,ROMNEY/RYAN,4
2012-11-06,01,04,PRESIDENT,Total,JOHNSON/GRAY,1
2012-11-06,01,05,PRESIDENT,Polling,OBAMA/BIDEN,630
2012-11-06,01,05,PRESIDENT,Polling,ROMNEY/RYAN,3
2012-11-06,01,05,PRESIDENT,Polling,JOHNSON/GRAY,2
2012-11-06,01,05,PRESIDENT,ABSENTEE,OBAMA/BIDEN,115
2012-11-06,01,05,PRESIDENT,ABSENTEE,ROMNEY/RYAN,4
2012-11-06,01,05,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
2012-11-06,01,05,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
2012-11-06,01,05,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
2012-11-06,01,05,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
2012-11-06,01,05,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
2012-11-06,01,05,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
2012-11-06,01,05,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
2012-11-06,01,05,PRESIDENT,Total,OBAMA/BIDEN,745
2012-11-06,01,05,PRESIDENT,Total,ROMNEY/RYAN,7
2012-11-06,01,05,PRESIDENT,Total,JOHNSON/GRAY,2
2012-11-06,01,06,PRESIDENT,Polling,OBAMA/BIDEN,772
2012-11-06,01,06,PRESIDENT,Polling,ROMNEY/RYAN,6
2012-11-06,01,06,PRESIDENT,Polling,JOHNSON/GRAY,0
2012-11-06,01,06,PRESIDENT,ABSENTEE,OBAMA/BIDEN,170
2012-11-06,01,06,PRESIDENT,ABSENTEE,ROMNEY/RYAN,4
2012-11-06,01,06,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
2012-11-06,01,06,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
2012-11-06,01,06,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
2012-11-06,01,06,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
2012-11-06,01,06,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
2012-11-06,01,06,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
2012-11-06,01,06,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
2012-11-06,01,06,PRESIDENT,Total,OBAMA/BIDEN,942
2012-11-06,01,06,PRESIDENT,Total,ROMNEY/RYAN,10
