ward,precinct,race,type,candidate,votes
01,01,PRESIDENT,Polling,OBAMA/BIDEN,687
01,01,PRESIDENT,Polling,ROMNEY/RYAN,6
01,01,PRESIDENT,Polling,JOHNSON/GRAY,1
01,01,PRESIDENT,ABSENTEE,OBAMA/BIDEN,91
01,01,PRESIDENT,ABSENTEE,ROMNEY/RYAN,0
01,01,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
01,01,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
01,01,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
01,01,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
01,01,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
01,01,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
01,01,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
01,01,PRESIDENT,Total,OBAMA/BIDEN,778
01,01,PRESIDENT,Total,ROMNEY/RYAN,6
01,01,PRESIDENT,Total,JOHNSON/GRAY,1
01,02,PRESIDENT,Polling,OBAMA/BIDEN,701
01,02,PRESIDENT,Polling,ROMNEY/RYAN,4
01,02,PRESIDENT,Polling,JOHNSON/GRAY,1
01,02,PRESIDENT,ABSENTEE,OBAMA/BIDEN,101
01,02,PRESIDENT,ABSENTEE,ROMNEY/RYAN,0
01,02,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
01,02,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,5
01,02,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
01,02,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
01,02,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
01,02,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
01,02,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
01,02,PRESIDENT,Total,OBAMA/BIDEN,807
01,02,PRESIDENT,Total,ROMNEY/RYAN,4
01,02,PRESIDENT,Total,JOHNSON/GRAY,1
01,03,PRESIDENT,Polling,OBAMA/BIDEN,882
01,03,PRESIDENT,Polling,ROMNEY/RYAN,11
01,03,PRESIDENT,Polling,JOHNSON/GRAY,2
01,03,PRESIDENT,ABSENTEE,OBAMA/BIDEN,103
01,03,PRESIDENT,ABSENTEE,ROMNEY/RYAN,1
01,03,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
01,03,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
01,03,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
01,03,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
01,03,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
01,03,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
01,03,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
01,03,PRESIDENT,Total,OBAMA/BIDEN,985
01,03,PRESIDENT,Total,ROMNEY/RYAN,12
01,03,PRESIDENT,Total,JOHNSON/GRAY,2
01,04,PRESIDENT,Polling,OBAMA/BIDEN,645
01,04,PRESIDENT,Polling,ROMNEY/RYAN,4
01,04,PRESIDENT,Polling,JOHNSON/GRAY,1
01,04,PRESIDENT,ABSENTEE,OBAMA/BIDEN,55
01,04,PRESIDENT,ABSENTEE,ROMNEY/RYAN,0
01,04,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
01,04,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
01,04,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
01,04,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
01,04,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
01,04,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
01,04,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
01,04,PRESIDENT,Total,OBAMA/BIDEN,700
01,04,PRESIDENT,Total,ROMNEY/RYAN,4
01,04,PRESIDENT,Total,JOHNSON/GRAY,1
01,05,PRESIDENT,Polling,OBAMA/BIDEN,630
01,05,PRESIDENT,Polling,ROMNEY/RYAN,3
01,05,PRESIDENT,Polling,JOHNSON/GRAY,2
01,05,PRESIDENT,ABSENTEE,OBAMA/BIDEN,115
01,05,PRESIDENT,ABSENTEE,ROMNEY/RYAN,4
01,05,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
01,05,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
01,05,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
01,05,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
01,05,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
01,05,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
01,05,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
01,05,PRESIDENT,Total,OBAMA/BIDEN,745
01,05,PRESIDENT,Total,ROMNEY/RYAN,7
01,05,PRESIDENT,Total,JOHNSON/GRAY,2
01,06,PRESIDENT,Polling,OBAMA/BIDEN,772
01,06,PRESIDENT,Polling,ROMNEY/RYAN,6
01,06,PRESIDENT,Polling,JOHNSON/GRAY,0
01,06,PRESIDENT,ABSENTEE,OBAMA/BIDEN,170
01,06,PRESIDENT,ABSENTEE,ROMNEY/RYAN,4
01,06,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
01,06,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
01,06,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
01,06,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
01,06,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
01,06,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
01,06,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
01,06,PRESIDENT,Total,OBAMA/BIDEN,942
01,06,PRESIDENT,Total,ROMNEY/RYAN,10
01,06,PRESIDENT,Total,JOHNSON/GRAY,0
01,07,PRESIDENT,Polling,OBAMA/BIDEN,211
01,07,PRESIDENT,Polling,ROMNEY/RYAN,0
01,07,PRESIDENT,Polling,JOHNSON/GRAY,0
01,07,PRESIDENT,ABSENTEE,OBAMA/BIDEN,14
01,07,PRESIDENT,ABSENTEE,ROMNEY/RYAN,0
01,07,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
01,07,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
01,07,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
01,07,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
01,07,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
01,07,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
01,07,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
01,07,PRESIDENT,Total,OBAMA/BIDEN,225
01,07,PRESIDENT,Total,ROMNEY/RYAN,0
01,07,PRESIDENT,Total,JOHNSON/GRAY,0
02,01,PRESIDENT,Polling,OBAMA/BIDEN,182
02,01,PRESIDENT,Polling,ROMNEY/RYAN,6
02,01,PRESIDENT,Polling,JOHNSON/GRAY,0
02,01,PRESIDENT,ABSENTEE,OBAMA/BIDEN,10
02,01,PRESIDENT,ABSENTEE,ROMNEY/RYAN,0
02,01,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
02,01,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
02,01,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
02,01,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
02,01,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
02,01,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
02,01,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
02,01,PRESIDENT,Total,OBAMA/BIDEN,192
02,01,PRESIDENT,Total,ROMNEY/RYAN,6
02,01,PRESIDENT,Total,JOHNSON/GRAY,0
02,02,PRESIDENT,Polling,OBAMA/BIDEN,193
02,02,PRESIDENT,Polling,ROMNEY/RYAN,6
02,02,PRESIDENT,Polling,JOHNSON/GRAY,0
02,02,PRESIDENT,ABSENTEE,OBAMA/BIDEN,14
02,02,PRESIDENT,ABSENTEE,ROMNEY/RYAN,2
02,02,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
02,02,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,3
02,02,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
02,02,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
02,02,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
02,02,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
02,02,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
02,02,PRESIDENT,Total,OBAMA/BIDEN,210
02,02,PRESIDENT,Total,ROMNEY/RYAN,8
02,02,PRESIDENT,Total,JOHNSON/GRAY,0
02,03,PRESIDENT,Polling,OBAMA/BIDEN,754
02,03,PRESIDENT,Polling,ROMNEY/RYAN,36
02,03,PRESIDENT,Polling,JOHNSON/GRAY,1
02,03,PRESIDENT,ABSENTEE,OBAMA/BIDEN,71
02,03,PRESIDENT,ABSENTEE,ROMNEY/RYAN,8
02,03,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
02,03,PRESIDENT,PROVISIONAL,OBAMA/BIDEN,0
02,03,PRESIDENT,PROVISIONAL,ROMNEY/RYAN,0
02,03,PRESIDENT,PROVISIONAL,JOHNSON/GRAY,0
02,03,PRESIDENT,HOUSE VOTES,OBAMA/BIDEN,0
02,03,PRESIDENT,HOUSE VOTES,ROMNEY/RYAN,0
02,03,PRESIDENT,HOUSE VOTES,JOHNSON/GRAY,0
02,03,PRESIDENT,Total,OBAMA/BIDEN,825
02,03,PRESIDENT,Total,ROMNEY/RYAN,44
02,03,PRESIDENT,Total,JOHNSON/GRAY,1
02,04,PRESIDENT,Polling,OBAMA/BIDEN,529
02,04,PRESIDENT,Polling,ROMNEY/RYAN,15
02,04,PRESIDENT,Polling,JOHNSON/GRAY,1
02,04,PRESIDENT,ABSENTEE,OBAMA/BIDEN,42
02,04,PRESIDENT,ABSENTEE,ROMNEY/RYAN,1
02,04,PRESIDENT,ABSENTEE,JOHNSON/GRAY,0
