ward,precinct,registered,polling,absentee,provisional,house,total
20,03,1283,840,42,1,0,883
20,04,750,453,36,0,0,489
20,05,1217,824,43,0,2,869
20,06,265,201,9,0,0,210
20,07,357,201,27,0,0,228
21,01,692,403,66,0,0,469
21,02,959,651,79,0,0,730
21,03,987,560,90,0,0,650
21,04,1063,698,113,0,0,811
21,05,806,543,68,0,0,611
21,06,926,642,71,0,0,713
21,07,605,385,38,1,1,425
21,08,795,518,64,0,0,582
21,09,970,623,67,1,0,691
22,01,579,344,26,0,0,370
22,02,1215,806,86,0,0,892
22,03,1237,788,123,1,0,912
22,04,952,590,75,0,0,665
22,05,787,536,53,0,0,589
22,06,1215,793,77,17,0,887
22,07,609,302,31,0,0,333
22,08,198,121,21,0,0,142
23,01,1485,1090,52,1,0,1143
23,02,1169,818,74,1,0,893
23,03,749,566,39,0,0,605
23,04,1126,841,57,2,0,900
23,05,883,657,56,0,1,714
23,06,886,670,45,2,0,717
23,07,875,627,61,8,0,696
23,08,888,670,42,0,0,712
23,09,284,220,21,0,0,241
24,01,1049,742,59,0,0,801
24,02,767,570,34,1,0,605
24,03,861,557,44,0,1,602
24,04,1124,771,49,1,1,822
24,05,1104,799,36,3,0,838
24,06,1168,869,42,4,0,915
24,07,1041,760,43,1,0,804
24,08,337,259,14,0,0,273
25,01,1410,855,69,0,0,924
25,02,1415,903,62,0,0,965
25,03,757,455,23,0,0,478
25,04,1481,1012,57,3,0,1072
25,05,617,360,27,0,0,387
25,06,26,13,5,0,0,18
26,01,851,589,49,0,0,638
26,02,772,541,57,0,0,598
26,03,1925,1305,175,1,0,1481
26,04,1304,770,188,0,0,958
26,05,1126,749,66,0,0,815
26,06,1097,692,144,0,0,836
27,01,1263,891,92,0,0,983
27,02,868,607,44,1,0,652
27,03,1196,810,64,0,0,874
27,04,1026,639,38,0,0,677
27,05,711,512,47,0,0,559
27,06,1265,771,100,0,0,871
27,07,1185,785,132,1,0,918
27,08,724,462,61,1,0,524
28,01,677,501,69,3,1,574
28,02,495,328,62,0,0,390
28,04,572,396,94,0,0,490
28,05,1143,768,95,0,0,863
28,06,827,610,70,0,0,680
28,07,671,493,54,0,0,547
28,08,1137,729,129,0,0,858
28,09,507,364,68,0,0,432
28,10,1090,746,148,1,1,896
