ward,precinct,registered,polling,absentee,provisional,house,total
01,01,1089,695,91,0,0,786
01,02,1311,708,102,5,0,815
01,03,1360,900,104,0,0,1004
01,04,949,652,55,0,0,707
01,05,1176,638,119,0,0,757
01,06,1331,781,174,0,0,955
01,07,130,212,14,0,0,226
02,01,297,191,10,0,0,201
02,02,325,201,16,3,0,220
02,03,1196,792,79,0,0,871
02,04,829,548,43,3,0,594
02,05,1153,765,119,0,0,884
02,06,20,4,3,0,0,7
02,07,1115,689,145,0,0,834
02,08,1410,915,95,0,1,1011
03,01,305,243,23,0,0,266
03,02,1002,599,103,0,0,702
03,03,781,509,59,0,0,568
03,04,816,526,62,0,0,588
03,05,755,474,42,0,0,516
03,06,800,490,72,0,0,562
03,07,1112,654,61,0,0,715
03,08,623,398,37,0,0,435
03,09,549,280,70,0,0,350
04,01,736,418,109,0,0,527
04,02,1756,1067,109,1,0,1177
04,03,668,436,45,0,0,481
04,04,1072,658,77,14,0,749
04,05,851,541,51,0,0,592
04,06,616,358,45,0,0,403
04,07,923,623,68,0,0,691
04,08,186,131,7,0,0,138
04,09,164,115,14,0,0,129
04,10,271,160,19,0,0,179
05,01,593,345,114,2,0,461
05,02,590,381,33,0,2,416
05,03,839,511,104,6,0,621
05,04,552,377,24,0,1,402
05,05,789,503,34,11,0,548
05,06,1121,753,117,0,0,870
05,07,1154,697,114,3,0,814
05,08,553,287,48,0,3,338
06,01,839,585,52,1,0,638
06,02,787,586,77,0,0,663
06,03,957,697,52,2,0,751
06,04,1038,762,103,1,0,866
06,05,444,220,98,1,0,319
06,06,939,638,85,0,0,723
06,07,1361,946,88,1,0,1035
06,08,1042,691,103,4,0,798
06,09,128,89,5,0,0,94
07,01,700,477,34,9,1,521
07,02,651,453,32,1,0,486
07,03,582,427,63,0,0,490
07,04,1495,964,162,0,6,1132
07,05,1627,1153,138,2,0,1293
07,06,1765,1243,135,0,2,1380
08,01,1036,784,70,0,0,854
08,02,754,547,34,0,0,581
08,03,667,474,54,0,0,528
08,04,1465,1090,88,3,0,1181
08,05,1480,1062,107,3,0,1172
08,06,101,53,2,0,0,55
08,07,555,381,51,1,0,433
08,08,865,607,115,0,0,722
08,09,1002,609,77,0,0,686
09,01,1085,665,55,2,1,723
09,02,1374,903,57,0,0,960
09,03,839,624,43,0,0,667
09,04,593,423,33,0,1,457
09,05,686,462,38,0,2,502
09,06,948,612,31,0,0,643
09,07,78,56,10,0,0,66
09,08,395,234,21,0,0,255
09,09,321,218,16,0,0,234
10,01,1172,900,61,1,2,964
10,02,1053,734,55,1,1,791
10,03,940,681,34,0,0,715
10,04,1113,782,41,5,0,828
10,05,1069,747,40,2,0,789
10,06,196,130,7,0,0,137
10,07,1089,725,56,1,0,782
10,09,34,22,1,0,0,23
10,10,143,104,3,0,0,107
11,01,772,433,26,0,0,459
11,02,1077,770,64,2,0,836
11,03,777,404,29,5,0,438
11,04,1265,841,43,0,0,884
11,05,1208,706,129,0,0,835
11,06,1073,678,52,0,0,730
12,01,723,525,21,0,0,546
12,02,1527,1070,98,1,0,1169
12,03,783,530,23,0,0,553
12,04,1357,1004,64,1,0,1069
12,05,1543,1168,89,0,0,1257
12,06,1601,1137,80,1,0,1218
12,08,100,67,2,0,0,69
12,09,55,37,1,0,0,38
13,01,1537,1004,82,0,0,1086
13,02,1471,1056,75,0,0,1131
13,03,1154,774,42,4,0,820
13,04,1237,906,50,0,1,957
13,06,1145,685,48,0,0,733
13,07,69,79,5,0,0,84
14,01,910,665,37,0,0,702
14,02,818,541,28,0,0,569
14,03,978,599,52,0,0,651
14,04,1232,913,53,1,0,967
14,05,558,383,20,0,0,403
14,06,1061,702,30,1,0,733
14,07,99,68,5,0,0,73
14,08,57,32,1,0,0,33
14,09,380,237,26,0,0,263
15,01,1181,852,77,0,1,930
15,02,1402,1026,89,1,0,1116
15,03,1660,1198,89,2,0,1289
15,04,868,529,27,0,0,556
15,05,1222,650,54,1,0,705
15,06,710,610,20,0,0,630
15,07,6,19,1,0,0,20
16,01,1069,794,72,1,0,867
16,02,1162,858,104,0,0,962
16,03,1149,906,60,2,0,968
16,04,1181,895,82,0,0,977
16,05,1172,902,64,0,0,966
16,06,970,748,83,0,0,831
16,07,989,724,77,0,1,802
16,08,462,323,29,1,0,353
17,01,576,424,33,0,0,457
17,02,515,334,41,0,0,375
17,03,89,64,7,0,0,71
17,04,1257,783,160,0,0,943
17,05,1889,1253,275,1,1,1530
17,06,1186,820,108,0,0,928
17,07,36,27,1,0,0,28
17,08,1043,656,140,0,1,797
18,01,1427,897,215,0,1,1113
18,02,850,537,89,0,1,627
18,03,229,144,22,0,0,166
18,04,1151,702,83,7,0,792
18,05,974,575,150,1,1,727
18,06,1076,659,93,0,0,752
19,01,1077,765,90,0,0,855
19,02,56,42,3,0,0,45
19,03,310,230,13,0,0,243
19,04,716,513,51,0,1,565
19,05,2661,1239,70,4,0,1313
19,06,863,585,86,0,0,671
19,07,182,104,23,0,0,127
19,08,731,474,70,0,0,544
19,09,612,388,42,2,2,434
20,01,1173,714,41,2,0,757
20,02,625,411,27,6,0,444
