date,ward,precinct,registered,polling,absentee,provisional,house,total
2015-03-03,14,08,53,7,0,0,0,7
2015-03-03,14,09,363,14,6,0,0,20
2015-03-03,15,01,1088,252,10,0,0,262
2015-03-03,15,02,1374,381,8,0,0,389
2015-03-03,15,03,1543,314,18,0,0,332
2015-03-03,15,04,857,81,7,0,0,88
2015-03-03,15,05,1155,198,12,0,0,210
2015-03-03,15,06,646,66,4,0,0,70
2015-03-03,15,07,4,0,0,0,0,0
2015-03-03,16,01,1046,69,14,0,0,83
2015-03-03,16,02,1147,78,24,0,0,102
2015-03-03,16,03,1129,70,8,0,0,78
2015-03-03,16,04,1186,102,10,0,0,112
2015-03-03,16,05,1102,41,10,0,0,51
2015-03-03,16,06,957,96,7,0,0,103
2015-03-03,16,07,958,62,11,0,0,73
2015-03-03,16,08,449,29,3,0,0,32
2015-03-03,17,01,586,29,2,0,0,31
2015-03-03,17,02,436,18,1,0,0,19
2015-03-03,17,03,69,0,2,0,0,2
2015-03-03,17,04,1121,37,21,0,0,58
2015-03-03,17,05,1644,87,14,0,0,101
2015-03-03,17,06,1181,39,6,0,0,45
2015-03-03,17,07,29,0,0,0,0,0
2015-03-03,17,08,948,58,4,0,0,62
2015-03-03,18,01,1300,67,35,0,0,102
2015-03-03,18,02,947,57,10,0,0,67
2015-03-03,18,03,208,7,0,0,0,7
2015-03-03,18,04,994,55,7,0,0,62
2015-03-03,18,05,928,56,17,0,0,73
2015-03-03,18,06,947,45,11,0,0,56
2015-03-03,19,01,1036,39,5,0,0,44
2015-03-03,19,02,57,2,0,0,0,2
2015-03-03,19,03,288,52,3,0,0,55
2015-03-03,19,04,662,55,2,0,0,57
2015-03-03,19,05,1330,22,11,0,0,33
2015-03-03,19,06,781,38,19,0,0,57
2015-03-03,19,07,157,3,6,0,0,9
2015-03-03,19,08,630,23,17,0,0,40
2015-03-03,19,09,530,14,9,0,0,23
2015-03-03,20,01,1107,95,6,0,0,101
2015-03-03,20,02,596,97,6,0,0,103
2015-03-03,20,03,1216,161,11,0,0,172
2015-03-03,20,04,678,102,8,0,0,110
2015-03-03,20,05,1128,198,15,0,0,213
2015-03-03,20,06,252,22,2,0,0,24
2015-03-03,20,07,319,30,14,0,0,44
2015-03-03,21,01,638,35,10,0,0,45
2015-03-03,21,02,923,36,8,0,0,44
2015-03-03,21,03,872,33,10,0,0,43
2015-03-03,21,04,950,64,13,0,0,77
2015-03-03,21,05,819,29,7,0,0,36
