date,ward,precinct,registered,polling,absentee,provisional,house,total
2016-11-08,01,01,972,520,50,1,0,571
2016-11-08,01,02,1065,571,73,0,0,644
2016-11-08,01,03,1219,661,67,1,0,729
2016-11-08,01,04,905,472,36,0,0,508
2016-11-08,01,05,1060,577,85,1,0,663
2016-11-08,01,06,1254,683,121,5,0,809
2016-11-08,01,07,113,82,7,0,0,89
2016-11-08,02,01,272,124,11,1,0,136
2016-11-08,02,02,261,113,8,0,0,121
2016-11-08,02,03,1079,624,59,1,0,684
2016-11-08,02,04,658,380,32,0,0,412
2016-11-08,02,05,1107,672,99,0,0,771
2016-11-08,02,06,14,2,2,0,0,4
2016-11-08,02,07,1066,600,106,0,1,707
2016-11-08,02,08,1284,708,64,0,1,773
2016-11-08,03,01,302,221,9,1,0,231
2016-11-08,03,02,909,486,60,0,0,546
2016-11-08,03,03,626,299,60,0,2,361
2016-11-08,03,04,873,484,31,0,0,515
2016-11-08,03,05,635,327,30,0,1,358
2016-11-08,03,06,663,331,40,0,0,371
2016-11-08,03,07,920,491,36,0,1,528
2016-11-08,03,08,563,268,31,1,0,300
2016-11-08,03,09,522,259,62,0,1,322
2016-11-08,04,01,658,342,60,2,0,404
2016-11-08,04,02,1569,797,71,10,2,880
2016-11-08,04,03,646,354,29,0,2,385
2016-11-08,04,04,908,495,49,2,0,546
2016-11-08,04,05,780,394,32,2,1,429
2016-11-08,04,06,556,291,20,3,0,314
2016-11-08,04,07,780,411,54,2,0,467
2016-11-08,04,08,158,77,5,0,0,82
2016-11-08,04,09,142,82,4,0,0,86
2016-11-08,04,10,251,130,9,0,0,139
2016-11-08,05,01,541,222,92,6,0,320
2016-11-08,05,02,635,320,26,3,0,349
2016-11-08,05,03,896,460,91,1,2,554
2016-11-08,05,04,518,321,15,0,0,336
2016-11-08,05,05,846,429,30,2,1,462
2016-11-08,05,06,1069,608,89,0,0,697
2016-11-08,05,07,1125,693,111,0,0,804
2016-11-08,05,08,541,249,64,0,0,313
2016-11-08,06,01,891,608,42,2,0,652
2016-11-08,06,02,788,582,84,0,0,666
2016-11-08,06,03,1070,699,43,0,0,742
2016-11-08,06,04,1065,708,82,1,1,792
2016-11-08,06,05,513,291,45,7,0,343
2016-11-08,06,06,945,603,75,0,0,678
2016-11-08,06,07,1436,996,89,1,1,1087
2016-11-08,06,08,1021,554,92,2,0,648
2016-11-08,06,09,136,89,4,0,0,93
2016-11-08,07,01,668,475,25,3,0,503
2016-11-08,07,02,683,478,36,0,1,515
2016-11-08,07,03,611,430,91,0,1,522
2016-11-08,07,04,2044,1283,204,5,0,1492
2016-11-08,07,05,1622,1040,131,3,0,1174
2016-11-08,07,06,2010,1395,133,0,1,1529
2016-11-08,08,01,1145,826,69,0,0,895
2016-11-08,08,02,816,559,42,2,0,603
2016-11-08,08,03,718,487,41,0,0,528
2016-11-08,08,04,1550,1136,90,1,1,1228
2016-11-08,08,05,1567,1156,105,0,0,1261
2016-11-08,08,06,81,34,3,0,0,37
2016-11-08,08,07,567,391,57,0,1,449
2016-11-08,08,08,954,645,88,0,0,733
2016-11-08,08,09,960,651,55,0,0,706
2016-11-08,09,01,1159,678,49,0,1,728
2016-11-08,09,02,1312,793,44,0,0,837
2016-11-08,09,03,863,625,63,1,0,689
2016-11-08,09,04,656,478,29,0,0,507
2016-11-08,09,05,770,529,41,0,0,570
2016-11-08,09,06,942,538,30,0,0,568
2016-11-08,09,07,73,30,4,0,0,34
2016-11-08,09,08,427,272,19,1,0,292
2016-11-08,09,09,347,246,23,0,1,270
2016-11-08,10,01,1276,921,75,2,0,998
2016-11-08,10,02,1075,773,60,1,1,835
2016-11-08,10,03,990,697,50,0,0,747
2016-11-08,10,04,1191,856,46,0,0,902
2016-11-08,10,05,1152,759,38,0,0,797
2016-11-08,10,06,189,140,8,0,2,150
2016-11-08,10,07,1125,722,35,1,0,758
2016-11-08,10,09,48,19,2,0,0,21
2016-11-08,10,10,147,109,6,0,0,115
2016-11-08,11,01,784,454,21,0,0,475
2016-11-08,11,02,1131,845,63,0,0,908
