date,ward,precinct,registered,polling,absentee,provisional,house,total
2014-11-04,15,06,634,161,5,0,0,166
2014-11-04,15,07,4,1,0,0,0,1
2014-11-04,16,01,1036,403,24,1,0,428
2014-11-04,16,02,1126,482,41,0,0,523
2014-11-04,16,03,1129,458,15,0,0,473
2014-11-04,16,04,1173,494,18,0,0,512
2014-11-04,16,05,1103,412,24,0,0,436
2014-11-04,16,06,951,441,13,0,0,454
2014-11-04,16,07,946,393,22,0,1,416
2014-11-04,16,08,435,142,8,0,0,150
2014-11-04,17,01,570,188,6,0,0,194
2014-11-04,17,02,427,142,5,0,0,147
2014-11-04,17,03,65,132,2,1,0,135
2014-11-04,17,04,1093,309,50,0,0,359
2014-11-04,17,05,1584,643,42,0,0,685
2014-11-04,17,06,1133,268,25,1,0,294
2014-11-04,17,07,30,4,1,0,0,5
2014-11-04,17,08,938,332,22,0,0,354
2014-11-04,18,01,1276,408,76,0,0,484
2014-11-04,18,02,909,262,17,0,0,279
2014-11-04,18,03,206,68,1,0,0,69
2014-11-04,18,04,978,301,15,0,0,316
2014-11-04,18,05,922,263,44,0,0,307
2014-11-04,18,06,926,242,29,0,0,271
2014-11-04,19,01,1009,349,15,0,0,364
2014-11-04,19,02,57,2,1,0,0,3
2014-11-04,19,03,290,108,7,0,0,115
2014-11-04,19,04,647,273,6,1,0,280
2014-11-04,19,05,1340,242,22,0,0,264
2014-11-04,19,06,753,199,13,0,0,212
2014-11-04,19,07,152,50,11,0,0,61
2014-11-04,19,08,618,152,31,1,0,184
2014-11-04,19,09,517,107,15,0,0,122
2014-11-04,20,01,1082,224,7,0,0,231
2014-11-04,20,02,571,155,5,2,0,162
2014-11-04,20,03,1164,302,9,0,0,311
2014-11-04,20,04,662,165,5,0,0,170
2014-11-04,20,05,1088,262,11,0,0,273
2014-11-04,20,06,251,41,3,0,0,44
2014-11-04,20,07,305,81,8,0,0,89
2014-11-04,21,01,630,141,19,0,0,160
2014-11-04,21,02,908,298,15,0,0,313
2014-11-04,21,03,870,227,14,0,0,241
2014-11-04,21,04,945,311,34,0,0,345
2014-11-04,21,05,809,218,15,5,0,238
2014-11-04,21,06,887,302,16,1,0,319
2014-11-04,21,07,561,155,9,0,0,164
2014-11-04,21,08,727,237,12,0,0,249
2014-11-04,21,09,904,265,25,0,0,290
2014-11-04,22,01,505,126,4,0,0,130
2014-11-04,22,02,1166,268,20,0,1,289
