date,ward,precinct,registered,polling,absentee,provisional,house,total
2018-08-07,01,01,948,243,22,0,0,265
2018-08-07,01,02,1021,291,25,0,0,316
2018-08-07,01,03,1107,285,29,0,0,314
2018-08-07,01,04,902,244,11,0,0,255
2018-08-07,01,05,1001,295,32,0,0,327
2018-08-07,01,06,1276,331,55,0,0,386
2018-08-07,01,07,120,20,5,0,0,25
2018-08-07,02,01,280,51,4,1,0,56
2018-08-07,02,02,251,28,1,0,0,29
2018-08-07,02,03,1044,280,13,0,0,293
2018-08-07,02,04,616,162,12,0,0,174
2018-08-07,02,05,1076,397,41,0,0,438
2018-08-07,02,06,18,1,0,0,0,1
2018-08-07,02,07,1006,349,60,1,0,410
2018-08-07,02,08,1284,337,16,3,0,356
2018-08-07,03,01,289,111,4,0,0,115
2018-08-07,03,02,877,286,12,0,0,298
2018-08-07,03,03,506,126,29,0,0,155
2018-08-07,03,04,823,192,13,0,0,205
2018-08-07,03,05,611,123,6,1,0,130
2018-08-07,03,06,685,175,12,0,0,187
2018-08-07,03,07,950,235,13,0,0,248
2018-08-07,03,08,545,104,12,0,0,116
2018-08-07,03,09,471,126,18,0,0,144
2018-08-07,04,01,664,171,42,0,0,213
2018-08-07,04,02,1450,347,23,1,0,371
2018-08-07,04,03,600,159,4,0,0,163
2018-08-07,04,04,924,218,16,0,0,234
2018-08-07,04,05,725,194,15,0,0,209
2018-08-07,04,06,516,121,8,1,0,130
2018-08-07,04,07,754,196,16,0,0,212
2018-08-07,04,08,161,27,3,0,0,30
2018-08-07,04,09,136,50,2,0,0,52
2018-08-07,04,10,237,39,5,0,0,44
2018-08-07,05,01,407,106,24,0,0,130
2018-08-07,05,02,579,139,6,0,0,145
2018-08-07,05,03,873,193,34,9,0,236
2018-08-07,05,04,488,141,5,0,0,146
2018-08-07,05,05,829,132,7,8,0,147
2018-08-07,05,06,1016,237,24,0,0,261
2018-08-07,05,07,1030,271,25,1,0,297
2018-08-07,05,08,505,107,31,0,0,138
2018-08-07,06,01,905,350,28,0,0,378
2018-08-07,06,02,762,372,28,1,0,401
2018-08-07,06,03,1043,402,13,0,0,415
2018-08-07,06,04,1032,457,29,0,0,486
2018-08-07,06,05,483,193,9,7,0,209
2018-08-07,06,06,884,265,14,0,0,279
2018-08-07,06,07,1372,592,32,4,0,628
2018-08-07,06,08,997,230,25,1,0,256
2018-08-07,06,09,111,41,1,1,0,43
2018-08-07,07,01,676,271,12,0,0,283
2018-08-07,07,02,643,247,11,0,0,258
2018-08-07,07,03,620,264,21,1,0,286
2018-08-07,07,04,1793,569,38,1,0,608
2018-08-07,07,05,1488,485,33,0,0,518
2018-08-07,07,06,1740,668,36,1,0,705
2018-08-07,08,01,1050,499,27,1,0,527
2018-08-07,08,02,788,319,13,0,0,332
2018-08-07,08,03,668,275,16,0,0,291
2018-08-07,08,04,1430,690,38,1,0,729
2018-08-07,08,05,1465,720,40,0,0,760
2018-08-07,08,06,78,25,2,0,0,27
2018-08-07,08,07,527,229,15,0,0,244
2018-08-07,08,08,844,396,37,0,0,433
2018-08-07,08,09,860,384,27,0,0,411
2018-08-07,09,01,1079,325,17,0,0,342
2018-08-07,09,02,1293,296,26,0,0,322
2018-08-07,09,03,821,359,14,0,0,373
2018-08-07,09,04,574,269,7,0,0,276
2018-08-07,09,05,729,335,13,0,0,348
