date,ward,precinct,registered,polling,absentee,provisional,house,total
2012-11-06,01,01,1089,695,91,0,0,786
2012-11-06,01,02,1311,708,102,5,0,815
2012-11-06,01,03,1360,900,104,0,0,1004
2012-11-06,01,04,949,652,55,0,0,707
2012-11-06,01,05,1176,638,119,0,0,757
2012-11-06,01,06,1331,781,174,0,0,955
2012-11-06,01,07,130,212,14,0,0,226
2012-11-06,02,01,297,191,10,0,0,201
2012-11-06,02,02,325,201,16,3,0,220
2012-11-06,02,03,1196,792,79,0,0,871
2012-11-06,02,04,829,548,43,3,0,594
2012-11-06,02,05,1153,765,119,0,0,884
2012-11-06,02,06,20,4,3,0,0,7
2012-11-06,02,07,1115,689,145,0,0,834
2012-11-06,02,08,1410,915,95,0,1,1011
2012-11-06,03,01,305,243,23,0,0,266
2012-11-06,03,02,1002,599,103,0,0,702
2012-11-06,03,03,781,509,59,0,0,568
2012-11-06,03,04,816,526,62,0,0,588
2012-11-06,03,05,755,474,42,0,0,516
2012-11-06,03,06,800,490,72,0,0,562
2012-11-06,03,07,1112,654,61,0,0,715
2012-11-06,03,08,623,398,37,0,0,435
2012-11-06,03,09,549,280,70,0,0,350
2012-11-06,04,01,736,418,109,0,0,527
2012-11-06,04,02,1756,1067,109,1,0,1177
2012-11-06,04,03,668,436,45,0,0,481
2012-11-06,04,04,1072,658,77,14,0,749
2012-11-06,04,05,851,541,51,0,0,592
2012-11-06,04,06,616,358,45,0,0,403
2012-11-06,04,07,923,623,68,0,0,691
2012-11-06,04,08,186,131,7,0,0,138
2012-11-06,04,09,164,115,14,0,0,129
2012-11-06,04,10,271,160,19,0,0,179
2012-11-06,05,01,593,345,114,2,0,461
2012-11-06,05,02,590,381,33,0,2,416
2012-11-06,05,03,839,511,104,6,0,621
2012-11-06,05,04,552,377,24,0,1,402
2012-11-06,05,05,789,503,34,11,0,548
2012-11-06,05,06,1121,753,117,0,0,870
2012-11-06,05,07,1154,697,114,3,0,814
2012-11-06,05,08,553,287,48,0,3,338
2012-11-06,06,01,839,585,52,1,0,638
2012-11-06,06,02,787,586,77,0,0,663
2012-11-06,06,03,957,697,52,2,0,751
2012-11-06,06,04,1038,762,103,1,0,866
2012-11-06,06,05,444,220,98,1,0,319
2012-11-06,06,06,939,638,85,0,0,723
2012-11-06,06,07,1361,946,88,1,0,1035
2012-11-06,06,08,1042,691,103,4,0,798
2012-11-06,06,09,128,89,5,0,0,94
2012-11-06,07,01,700,477,34,9,1,521
2012-11-06,07,02,651,453,32,1,0,486
2012-11-06,07,03,582,427,63,0,0,490
2012-11-06,07,04,1495,964,162,0,6,1132
2012-11-06,07,05,1627,1153,138,2,0,1293
2012-11-06,07,06,1765,1243,135,0,2,1380
2012-11-06,08,01,1036,784,70,0,0,854
2012-11-06,08,02,754,547,34,0,0,581
2012-11-06,08,03,667,474,54,0,0,528
2012-11-06,08,04,1465,1090,88,3,0,1181
2012-11-06,08,05,1480,1062,107,3,0,1172
2012-11-06,08,06,101,53,2,0,0,55
2012-11-06,08,07,555,381,51,1,0,433
2012-11-06,08,08,865,607,115,0,0,722
2012-11-06,08,09,1002,609,77,0,0,686
2012-11-06,09,01,1085,665,55,2,1,723
2012-11-06,09,02,1374,903,57,0,0,960
2012-11-06,09,03,839,624,43,0,0,667
2012-11-06,09,04,593,423,33,0,1,457
2012-11-06,09,05,686,462,38,0,2,502
2012-11-06,09,06,948,612,31,0,0,643
2012-11-06,09,07,78,56,10,0,0,66
2012-11-06,09,08,395,234,21,0,0,255
2012-11-06,09,09,321,218,16,0,0,234
2012-11-06,10,01,1172,900,61,1,2,964
2012-11-06,10,02,1053,734,55,1,1,791
2012-11-06,10,03,940,681,34,0,0,715
2012-11-06,10,04,1113,782,41,5,0,828
2012-11-06,10,05,1069,747,40,2,0,789
2012-11-06,10,06,196,130,7,0,0,137
2012-11-06,10,07,1089,725,56,1,0,782
2012-11-06,10,09,34,22,1,0,0,23
2012-11-06,10,10,143,104,3,0,0,107
2012-11-06,11,01,772,433,26,0,0,459
2012-11-06,11,02,1077,770,64,2,0,836
2012-11-06,11,03,777,404,29,5,0,438
2012-11-06,11,04,1265,841,43,0,0,884
2012-11-06,11,05,1208,706,129,0,0,835
2012-11-06,11,06,1073,678,52,0,0,730
2012-11-06,12,01,723,525,21,0,0,546
2012-11-06,12,02,1527,1070,98,1,0,1169
2012-11-06,12,03,783,530,23,0,0,553
2012-11-06,12,04,1357,1004,64,1,0,1069
2012-11-06,12,05,1543,1168,89,0,0,1257
2012-11-06,12,06,1601,1137,80,1,0,1218
2012-11-06,12,08,100,67,2,0,0,69
2012-11-06,12,09,55,37,1,0,0,38
2012-11-06,13,01,1537,1004,82,0,0,1086
