ward,precinct,race,type,candidate,votes
01,06,US SENATOR,Total,JAPHETH CAMPBELL,6
01,07,US SENATOR,Polling,JOSH HAWLEY,0
01,07,Y,Polling,CLAIRE McCASKILL,22
01,07,US SENATOR,Polling,JAPHETH CAMPBELL,0
01,07,US SENATOR,ABSENTEE,JOSH HAWLEY,0
01,07,Y,ABSENTEE,CLAIRE McCASKILL,7
01,07,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
01,07,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
01,07,Y,PROVISIONAL,CLAIRE McCASKILL,0
01,07,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
01,07,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
01,07,Y,HOUSE VOTES,CLAIRE McCASKILL,0
01,07,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
01,07,US SENATOR,Total,JOSH HAWLEY,0
01,07,Y,Total,CLAIRE McCASKILL,29
01,07,US SENATOR,Total,JAPHETH CAMPBELL,0
02,01,US SENATOR,Polling,JOSH HAWLEY,6
02,01,Y,Polling,CLAIRE McCASKILL,87
02,01,US SENATOR,Polling,JAPHETH CAMPBELL,1
02,01,US SENATOR,ABSENTEE,JOSH HAWLEY,0
02,01,Y,ABSENTEE,CLAIRE McCASKILL,8
02,01,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
02,01,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
02,01,Y,PROVISIONAL,CLAIRE McCASKILL,0
02,01,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
02,01,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
02,01,Y,HOUSE VOTES,CLAIRE McCASKILL,0
02,01,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
02,01,US SENATOR,Total,JOSH HAWLEY,6
02,01,Y,Total,CLAIRE McCASKILL,95
02,01,US SENATOR,Total,JAPHETH CAMPBELL,1
02,02,US SENATOR,Polling,JOSH HAWLEY,2
02,02,Y,Polling,CLAIRE McCASKILL,85
02,02,US SENATOR,Polling,JAPHETH CAMPBELL,0
02,02,US SENATOR,ABSENTEE,JOSH HAWLEY,1
02,02,Y,ABSENTEE,CLAIRE McCASKILL,0
02,02,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
02,02,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
02,02,Y,PROVISIONAL,CLAIRE McCASKILL,1
02,02,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
02,02,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
02,02,Y,HOUSE VOTES,CLAIRE McCASKILL,0
02,02,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
02,02,US SENATOR,Total,JOSH HAWLEY,3
02,02,Y,Total,CLAIRE McCASKILL,86
02,02,US SENATOR,Total,JAPHETH CAMPBELL,0
02,03,US SENATOR,Polling,JOSH HAWLEY,23
02,03,Y,Polling,CLAIRE McCASKILL,474
02,03,US SENATOR,Polling,JAPHETH CAMPBELL,4
02,03,US SENATOR,ABSENTEE,JOSH HAWLEY,7
02,03,Y,ABSENTEE,CLAIRE McCASKILL,33
02,03,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
02,03,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
02,03,Y,PROVISIONAL,CLAIRE McCASKILL,3
02,03,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
02,03,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
02,03,Y,HOUSE VOTES,CLAIRE McCASKILL,0
02,03,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
02,03,US SENATOR,Total,JOSH HAWLEY,30
02,03,Y,Total,CLAIRE McCASKILL,510
02,03,US SENATOR,Total,JAPHETH CAMPBELL,4
02,04,US SENATOR,Polling,JOSH HAWLEY,13
02,04,Y,Polling,CLAIRE McCASKILL,277
02,04,US SENATOR,Polling,JAPHETH CAMPBELL,1
02,04,US SENATOR,ABSENTEE,JOSH HAWLEY,1
02,04,Y,ABSENTEE,CLAIRE McCASKILL,18
02,04,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
02,04,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
02,04,Y,PROVISIONAL,CLAIRE McCASKILL,2
02,04,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
02,04,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
02,04,Y,HOUSE VOTES,CLAIRE McCASKILL,0
02,04,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
02,04,US SENATOR,Total,JOSH HAWLEY,14
02,04,Y,Total,CLAIRE McCASKILL,297
02,04,US SENATOR,Total,JAPHETH CAMPBELL,1
02,05,US SENATOR,Polling,JOSH HAWLEY,11
02,05,Y,Polling,CLAIRE McCASKILL,555
02,05,US SENATOR,Polling,JAPHETH CAMPBELL,6
02,05,US SENATOR,ABSENTEE,JOSH HAWLEY,3
02,05,Y,ABSENTEE,CLAIRE McCASKILL,52
02,05,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
02,05,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
02,05,Y,PROVISIONAL,CLAIRE McCASKILL,0
02,05,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
02,05,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
02,05,Y,HOUSE VOTES,CLAIRE McCASKILL,0
02,05,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
02,05,US SENATOR,Total,JOSH HAWLEY,14
02,05,Y,Total,CLAIRE McCASKILL,607
02,05,US SENATOR,Total,JAPHETH CAMPBELL,6
02,06,US SENATOR,Polling,JOSH HAWLEY,0
02,06,Y,Polling,CLAIRE McCASKILL,1
02,06,US SENATOR,Polling,JAPHETH CAMPBELL,0
02,06,US SENATOR,ABSENTEE,JOSH HAWLEY,0
02,06,Y,ABSENTEE,CLAIRE McCASKILL,0
02,06,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
02,06,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
02,06,Y,PROVISIONAL,CLAIRE McCASKILL,0
02,06,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
02,06,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
02,06,Y,HOUSE VOTES,CLAIRE McCASKILL,0
02,06,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
02,06,US SENATOR,Total,JOSH HAWLEY,0
02,06,Y,Total,CLAIRE McCASKILL,1
02,06,US SENATOR,Total,JAPHETH CAMPBELL,0
02,07,US SENATOR,Polling,JOSH HAWLEY,11
02,07,Y,Polling,CLAIRE McCASKILL,513
02,07,US SENATOR,Polling,JAPHETH CAMPBELL,1
02,07,US SENATOR,ABSENTEE,JOSH HAWLEY,5
02,07,Y,ABSENTEE,CLAIRE McCASKILL,60
02,07,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
02,07,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
02,07,Y,PROVISIONAL,CLAIRE McCASKILL,3
02,07,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
02,07,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
02,07,Y,HOUSE VOTES,CLAIRE McCASKILL,0
02,07,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
02,07,US SENATOR,Total,JOSH HAWLEY,16
02,07,Y,Total,CLAIRE McCASKILL,576
02,07,US SENATOR,Total,JAPHETH CAMPBELL,1
02,08,US SENATOR,Polling,JOSH HAWLEY,9
02,08,Y,Polling,CLAIRE McCASKILL,565
02,08,US SENATOR,Polling,JAPHETH CAMPBELL,1
02,08,US SENATOR,ABSENTEE,JOSH HAWLEY,3
02,08,Y,ABSENTEE,CLAIRE McCASKILL,24
02,08,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
02,08,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
02,08,Y,PROVISIONAL,CLAIRE McCASKILL,0
02,08,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
02,08,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
02,08,Y,HOUSE VOTES,CLAIRE McCASKILL,0
02,08,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
02,08,US SENATOR,Total,JOSH HAWLEY,12
02,08,Y,Total,CLAIRE McCASKILL,589
02,08,US SENATOR,Total,JAPHETH CAMPBELL,1
03,01,US SENATOR,Polling,JOSH HAWLEY,2
03,01,Y,Polling,CLAIRE McCASKILL,189
03,01,US SENATOR,Polling,JAPHETH CAMPBELL,0
03,01,US SENATOR,ABSENTEE,JOSH HAWLEY,0
03,01,Y,ABSENTEE,CLAIRE McCASKILL,7
03,01,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
03,01,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,01,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,01,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,01,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,01,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,01,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,01,US SENATOR,Total,JOSH HAWLEY,2
03,01,Y,Total,CLAIRE McCASKILL,196
03,01,US SENATOR,Total,JAPHETH CAMPBELL,0
03,02,US SENATOR,Polling,JOSH HAWLEY,6
03,02,Y,Polling,CLAIRE McCASKILL,396
03,02,US SENATOR,Polling,JAPHETH CAMPBELL,1
03,02,US SENATOR,ABSENTEE,JOSH HAWLEY,1
03,02,Y,ABSENTEE,CLAIRE McCASKILL,27
03,02,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
03,02,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,02,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,02,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,02,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,02,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,02,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,02,US SENATOR,Total,JOSH HAWLEY,7
03,02,Y,Total,CLAIRE McCASKILL,423
03,02,US SENATOR,Total,JAPHETH CAMPBELL,1
03,03,US SENATOR,Polling,JOSH HAWLEY,5
03,03,Y,Polling,CLAIRE McCASKILL,199
03,03,US SENATOR,Polling,JAPHETH CAMPBELL,0
03,03,US SENATOR,ABSENTEE,JOSH HAWLEY,2
03,03,Y,ABSENTEE,CLAIRE McCASKILL,33
03,03,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
03,03,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,03,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,03,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,03,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,03,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,03,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,03,US SENATOR,Total,JOSH HAWLEY,7
03,03,Y,Total,CLAIRE McCASKILL,232
03,03,US SENATOR,Total,JAPHETH CAMPBELL,0
03,04,US SENATOR,Polling,JOSH HAWLEY,14
03,04,Y,Polling,CLAIRE McCASKILL,366
03,04,US SENATOR,Polling,JAPHETH CAMPBELL,0
03,04,US SENATOR,ABSENTEE,JOSH HAWLEY,2
03,04,Y,ABSENTEE,CLAIRE McCASKILL,16
03,04,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
03,04,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,04,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,04,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,04,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,04,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,04,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,04,US SENATOR,Total,JOSH HAWLEY,16
