ward,precinct,race,type,candidate,votes
01,01,US SENATOR REP,Polling,TONY MONETTI,0
01,01,US SENATOR REP,Polling,AUSTIN PETERSEN,1
01,01,US SENATOR REP,Polling,JOSH HAWLEY,0
01,01,US SENATOR REP,ABSENTEE,TONY MONETTI,0
01,01,US SENATOR REP,ABSENTEE,AUSTIN PETERSEN,0
01,01,US SENATOR REP,ABSENTEE,JOSH HAWLEY,0
01,01,US SENATOR REP,PROVISIONAL,TONY MONETTI,0
01,01,US SENATOR REP,PROVISIONAL,AUSTIN PETERSEN,0
01,01,US SENATOR REP,PROVISIONAL,JOSH HAWLEY,0
01,01,US SENATOR REP,HOUSE VOTES,TONY MONETTI,0
01,01,US SENATOR REP,HOUSE VOTES,AUSTIN PETERSEN,0
01,01,US SENATOR REP,HOUSE VOTES,JOSH HAWLEY,0
01,01,US SENATOR REP,Total,TONY MONETTI,0
01,01,US SENATOR REP,Total,AUSTIN PETERSEN,1
01,01,US SENATOR REP,Total,JOSH HAWLEY,0
01,02,US SENATOR REP,Polling,TONY MONETTI,0
01,02,US SENATOR REP,Polling,AUSTIN PETERSEN,0
01,02,US SENATOR REP,Polling,JOSH HAWLEY,1
01,02,US SENATOR REP,ABSENTEE,TONY MONETTI,0
01,02,US SENATOR REP,ABSENTEE,AUSTIN PETERSEN,0
01,02,US SENATOR REP,ABSENTEE,JOSH HAWLEY,0
01,02,US SENATOR REP,PROVISIONAL,TONY MONETTI,0
01,02,US SENATOR REP,PROVISIONAL,AUSTIN PETERSEN,0
01,02,US SENATOR REP,PROVISIONAL,JOSH HAWLEY,0
01,02,US SENATOR REP,HOUSE VOTES,TONY MONETTI,0
01,02,US SENATOR REP,HOUSE VOTES,AUSTIN PETERSEN,0
01,02,US SENATOR REP,HOUSE VOTES,JOSH HAWLEY,0
01,02,US SENATOR REP,Total,TONY MONETTI,0
01,02,US SENATOR REP,Total,AUSTIN PETERSEN,0
01,02,US SENATOR REP,Total,JOSH HAWLEY,1
01,03,US SENATOR REP,Polling,TONY MONETTI,0
01,03,US SENATOR REP,Polling,AUSTIN PETERSEN,0
01,03,US SENATOR REP,Polling,JOSH HAWLEY,1
01,03,US SENATOR REP,ABSENTEE,TONY MONETTI,0
01,03,US SENATOR REP,ABSENTEE,AUSTIN PETERSEN,0
01,03,US SENATOR REP,ABSENTEE,JOSH HAWLEY,0
01,03,US SENATOR REP,PROVISIONAL,TONY MONETTI,0
01,03,US SENATOR REP,PROVISIONAL,AUSTIN PETERSEN,0
01,03,US SENATOR REP,PROVISIONAL,JOSH HAWLEY,0
01,03,US SENATOR REP,HOUSE VOTES,TONY MONETTI,0
01,03,US SENATOR REP,HOUSE VOTES,AUSTIN PETERSEN,0
01,03,US SENATOR REP,HOUSE VOTES,JOSH HAWLEY,0
01,03,US SENATOR REP,Total,TONY MONETTI,0
01,03,US SENATOR REP,Total,AUSTIN PETERSEN,0
01,03,US SENATOR REP,Total,JOSH HAWLEY,1
01,04,US SENATOR REP,Polling,TONY MONETTI,0
01,04,US SENATOR REP,Polling,AUSTIN PETERSEN,0
01,04,US SENATOR REP,Polling,JOSH HAWLEY,1
01,04,US SENATOR REP,ABSENTEE,TONY MONETTI,0
01,04,US SENATOR REP,ABSENTEE,AUSTIN PETERSEN,0
01,04,US SENATOR REP,ABSENTEE,JOSH HAWLEY,0
01,04,US SENATOR REP,PROVISIONAL,TONY MONETTI,0
01,04,US SENATOR REP,PROVISIONAL,AUSTIN PETERSEN,0
01,04,US SENATOR REP,PROVISIONAL,JOSH HAWLEY,0
01,04,US SENATOR REP,HOUSE VOTES,TONY MONETTI,0
01,04,US SENATOR REP,HOUSE VOTES,AUSTIN PETERSEN,0
01,04,US SENATOR REP,HOUSE VOTES,JOSH HAWLEY,0
01,04,US SENATOR REP,Total,TONY MONETTI,0
