ward,precinct,registered,polling,absentee,provisional,house,total
27,08,652,215,21,0,0,236
28,01,700,297,24,0,0,321
28,02,458,226,24,0,0,250
28,04,515,235,34,0,0,269
28,05,1012,303,30,0,0,333
28,06,823,359,28,0,0,387
28,07,613,256,15,0,0,271
28,08,1033,377,30,2,0,409
28,09,507,237,11,0,0,248
28,10,1016,419,52,0,0,471
