date,ward,precinct,race,type,candidate,votes
2018-11-06,01,01,US SENATOR,Polling,JOSH HAWLEY,6
2018-11-06,01,01,Y,Polling,CLAIRE McCASKILL,430
2018-11-06,01,01,US SENATOR,Polling,JAPHETH CAMPBELL,3
2018-11-06,01,01,US SENATOR,ABSENTEE,JOSH HAWLEY,2
2018-11-06,01,01,Y,ABSENTEE,CLAIRE McCASKILL,27
2018-11-06,01,01,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,01,01,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,01,01,Y,PROVISIONAL,CLAIRE McCASKILL,2
2018-11-06,01,01,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,01,01,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,01,01,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,01,01,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,01,01,US SENATOR,Total,JOSH HAWLEY,8
2018-11-06,01,01,Y,Total,CLAIRE McCASKILL,459
2018-11-06,01,01,US SENATOR,Total,JAPHETH CAMPBELL,3
2018-11-06,01,02,US SENATOR,Polling,JOSH HAWLEY,9
2018-11-06,01,02,Y,Polling,CLAIRE McCASKILL,415
2018-11-06,01,02,US SENATOR,Polling,JAPHETH CAMPBELL,5
2018-11-06,01,02,US SENATOR,ABSENTEE,JOSH HAWLEY,2
2018-11-06,01,02,Y,ABSENTEE,CLAIRE McCASKILL,44
2018-11-06,01,02,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,1
2018-11-06,01,02,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,01,02,Y,PROVISIONAL,CLAIRE McCASKILL,0
2018-11-06,01,02,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,01,02,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,01,02,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,01,02,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,01,02,US SENATOR,Total,JOSH HAWLEY,11
2018-11-06,01,02,Y,Total,CLAIRE McCASKILL,459
2018-11-06,01,02,US SENATOR,Total,JAPHETH CAMPBELL,6
2018-11-06,01,03,US SENATOR,Polling,JOSH HAWLEY,8
2018-11-06,01,03,Y,Polling,CLAIRE McCASKILL,448
2018-11-06,01,03,US SENATOR,Polling,JAPHETH CAMPBELL,2
2018-11-06,01,03,US SENATOR,ABSENTEE,JOSH HAWLEY,0
2018-11-06,01,03,Y,ABSENTEE,CLAIRE McCASKILL,43
2018-11-06,01,03,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,01,03,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,01,03,Y,PROVISIONAL,CLAIRE McCASKILL,0
2018-11-06,01,03,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,01,03,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,01,03,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,01,03,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,01,03,US SENATOR,Total,JOSH HAWLEY,8
2018-11-06,01,03,Y,Total,CLAIRE McCASKILL,491
2018-11-06,01,03,US SENATOR,Total,JAPHETH CAMPBELL,2
2018-11-06,01,04,US SENATOR,Polling,JOSH HAWLEY,4
2018-11-06,01,04,Y,Polling,CLAIRE McCASKILL,423
2018-11-06,01,04,US SENATOR,Polling,JAPHETH CAMPBELL,0
2018-11-06,01,04,US SENATOR,ABSENTEE,JOSH HAWLEY,0
2018-11-06,01,04,Y,ABSENTEE,CLAIRE McCASKILL,21
2018-11-06,01,04,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,01,04,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,01,04,Y,PROVISIONAL,CLAIRE McCASKILL,2
2018-11-06,01,04,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,01,04,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,01,04,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,01,04,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,01,04,US SENATOR,Total,JOSH HAWLEY,4
2018-11-06,01,04,Y,Total,CLAIRE McCASKILL,446
2018-11-06,01,04,US SENATOR,Total,JAPHETH CAMPBELL,0
2018-11-06,01,05,US SENATOR,Polling,JOSH HAWLEY,9
2018-11-06,01,05,Y,Polling,CLAIRE McCASKILL,500
2018-11-06,01,05,US SENATOR,Polling,JAPHETH CAMPBELL,3
2018-11-06,01,05,US SENATOR,ABSENTEE,JOSH HAWLEY,0
2018-11-06,01,05,Y,ABSENTEE,CLAIRE McCASKILL,55
2018-11-06,01,05,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,01,05,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,01,05,Y,PROVISIONAL,CLAIRE McCASKILL,0
2018-11-06,01,05,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,01,05,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,01,05,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,01,05,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,01,05,US SENATOR,Total,JOSH HAWLEY,9
2018-11-06,01,05,Y,Total,CLAIRE McCASKILL,555
2018-11-06,01,05,US SENATOR,Total,JAPHETH CAMPBELL,3
2018-11-06,01,06,US SENATOR,Polling,JOSH HAWLEY,12
2018-11-06,01,06,Y,Polling,CLAIRE McCASKILL,495
2018-11-06,01,06,US SENATOR,Polling,JAPHETH CAMPBELL,5
2018-11-06,01,06,US SENATOR,ABSENTEE,JOSH HAWLEY,5
2018-11-06,01,06,Y,ABSENTEE,CLAIRE McCASKILL,67
2018-11-06,01,06,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,1
2018-11-06,01,06,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,01,06,Y,PROVISIONAL,CLAIRE McCASKILL,2
2018-11-06,01,06,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,01,06,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,01,06,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,01,06,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,01,06,US SENATOR,Total,JOSH HAWLEY,17
2018-11-06,01,06,Y,Total,CLAIRE McCASKILL,564
2018-11-06,01,06,US SENATOR,Total,JAPHETH CAMPBELL,6
2018-11-06,01,07,US SENATOR,Polling,JOSH HAWLEY,0
2018-11-06,01,07,Y,Polling,CLAIRE McCASKILL,22
2018-11-06,01,07,US SENATOR,Polling,JAPHETH CAMPBELL,0
2018-11-06,01,07,US SENATOR,ABSENTEE,JOSH HAWLEY,0
2018-11-06,01,07,Y,ABSENTEE,CLAIRE McCASKILL,7
2018-11-06,01,07,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,01,07,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,01,07,Y,PROVISIONAL,CLAIRE McCASKILL,0
2018-11-06,01,07,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,01,07,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,01,07,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,01,07,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,01,07,US SENATOR,Total,JOSH HAWLEY,0
2018-11-06,01,07,Y,Total,CLAIRE McCASKILL,29
2018-11-06,01,07,US SENATOR,Total,JAPHETH CAMPBELL,0
2018-11-06,02,01,US SENATOR,Polling,JOSH HAWLEY,6
2018-11-06,02,01,Y,Polling,CLAIRE McCASKILL,87
2018-11-06,02,01,US SENATOR,Polling,JAPHETH CAMPBELL,1
2018-11-06,02,01,US SENATOR,ABSENTEE,JOSH HAWLEY,0
2018-11-06,02,01,Y,ABSENTEE,CLAIRE McCASKILL,8
2018-11-06,02,01,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,02,01,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,02,01,Y,PROVISIONAL,CLAIRE McCASKILL,0
2018-11-06,02,01,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,02,01,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,02,01,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,02,01,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,02,01,US SENATOR,Total,JOSH HAWLEY,6
2018-11-06,02,01,Y,Total,CLAIRE McCASKILL,95
2018-11-06,02,01,US SENATOR,Total,JAPHETH CAMPBELL,1
2018-11-06,02,02,US SENATOR,Polling,JOSH HAWLEY,2
2018-11-06,02,02,Y,Polling,CLAIRE McCASKILL,85
2018-11-06,02,02,US SENATOR,Polling,JAPHETH CAMPBELL,0
2018-11-06,02,02,US SENATOR,ABSENTEE,JOSH HAWLEY,1
2018-11-06,02,02,Y,ABSENTEE,CLAIRE McCASKILL,0
2018-11-06,02,02,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,02,02,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,02,02,Y,PROVISIONAL,CLAIRE McCASKILL,1
2018-11-06,02,02,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,02,02,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,02,02,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,02,02,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,02,02,US SENATOR,Total,JOSH HAWLEY,3
2018-11-06,02,02,Y,Total,CLAIRE McCASKILL,86
2018-11-06,02,02,US SENATOR,Total,JAPHETH CAMPBELL,0
2018-11-06,02,03,US SENATOR,Polling,JOSH HAWLEY,23
2018-11-06,02,03,Y,Polling,CLAIRE McCASKILL,474
2018-11-06,02,03,US SENATOR,Polling,JAPHETH CAMPBELL,4
2018-11-06,02,03,US SENATOR,ABSENTEE,JOSH HAWLEY,7
2018-11-06,02,03,Y,ABSENTEE,CLAIRE McCASKILL,33
2018-11-06,02,03,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,02,03,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,02,03,Y,PROVISIONAL,CLAIRE McCASKILL,3
2018-11-06,02,03,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,02,03,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,02,03,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,02,03,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,02,03,US SENATOR,Total,JOSH HAWLEY,30
2018-11-06,02,03,Y,Total,CLAIRE McCASKILL,510
2018-11-06,02,03,US SENATOR,Total,JAPHETH CAMPBELL,4
2018-11-06,02,04,US SENATOR,Polling,JOSH HAWLEY,13
2018-11-06,02,04,Y,Polling,CLAIRE McCASKILL,277
2018-11-06,02,04,US SENATOR,Polling,JAPHETH CAMPBELL,1
2018-11-06,02,04,US SENATOR,ABSENTEE,JOSH HAWLEY,1
2018-11-06,02,04,Y,ABSENTEE,CLAIRE McCASKILL,18
2018-11-06,02,04,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,02,04,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,02,04,Y,PROVISIONAL,CLAIRE McCASKILL,2
2018-11-06,02,04,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,02,04,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,02,04,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,02,04,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,02,04,US SENATOR,Total,JOSH HAWLEY,14
2018-11-06,02,04,Y,Total,CLAIRE McCASKILL,297
2018-11-06,02,04,US SENATOR,Total,JAPHETH CAMPBELL,1
2018-11-06,02,05,US SENATOR,Polling,JOSH HAWLEY,11
2018-11-06,02,05,Y,Polling,CLAIRE McCASKILL,555
2018-11-06,02,05,US SENATOR,Polling,JAPHETH CAMPBELL,6
2018-11-06,02,05,US SENATOR,ABSENTEE,JOSH HAWLEY,3
2018-11-06,02,05,Y,ABSENTEE,CLAIRE McCASKILL,52
2018-11-06,02,05,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
2018-11-06,02,05,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
2018-11-06,02,05,Y,PROVISIONAL,CLAIRE McCASKILL,0
2018-11-06,02,05,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
2018-11-06,02,05,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
2018-11-06,02,05,Y,HOUSE VOTES,CLAIRE McCASKILL,0
2018-11-06,02,05,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
2018-11-06,02,05,US SENATOR,Total,JOSH HAWLEY,14
2018-11-06,02,05,Y,Total,CLAIRE McCASKILL,607
2018-11-06,02,05,US SENATOR,Total,JAPHETH CAMPBELL,6
