ward,precinct,race,type,candidate,votes
01,01,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
01,01,MAYOR - REP,Polling,JIM OSHER,0
01,01,MAYOR - REP,Polling,ANDREW JONES,0
01,01,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
01,01,MAYOR - REP,ABSENTEE,JIM OSHER,0
01,01,MAYOR - REP,ABSENTEE,ANDREW JONES,0
01,01,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
01,01,MAYOR - REP,PROVISIONAL,JIM OSHER,0
01,01,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
01,01,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
01,01,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
01,01,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
01,01,MAYOR - REP,Total,ANDY KARANDZIEFF,0
01,01,MAYOR - REP,Total,JIM OSHER,0
01,01,MAYOR - REP,Total,ANDREW JONES,0
01,02,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
01,02,MAYOR - REP,Polling,JIM OSHER,0
01,02,MAYOR - REP,Polling,ANDREW JONES,0
01,02,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
01,02,MAYOR - REP,ABSENTEE,JIM OSHER,0
01,02,MAYOR - REP,ABSENTEE,ANDREW JONES,0
01,02,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
01,02,MAYOR - REP,PROVISIONAL,JIM OSHER,0
01,02,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
01,02,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
01,02,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
01,02,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
01,02,MAYOR - REP,Total,ANDY KARANDZIEFF,0
01,02,MAYOR - REP,Total,JIM OSHER,0
01,02,MAYOR - REP,Total,ANDREW JONES,0
01,03,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
01,03,MAYOR - REP,Polling,JIM OSHER,0
01,03,MAYOR - REP,Polling,ANDREW JONES,0
01,03,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
01,03,MAYOR - REP,ABSENTEE,JIM OSHER,0
01,03,MAYOR - REP,ABSENTEE,ANDREW JONES,0
01,03,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
01,03,MAYOR - REP,PROVISIONAL,JIM OSHER,0
01,03,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
01,03,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
01,03,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
01,03,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
01,03,MAYOR - REP,Total,ANDY KARANDZIEFF,0
01,03,MAYOR - REP,Total,JIM OSHER,0
01,03,MAYOR - REP,Total,ANDREW JONES,0
01,04,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
01,04,MAYOR - REP,Polling,JIM OSHER,0
01,04,MAYOR - REP,Polling,ANDREW JONES,0
01,04,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
01,04,MAYOR - REP,ABSENTEE,JIM OSHER,0
01,04,MAYOR - REP,ABSENTEE,ANDREW JONES,0
01,04,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
01,04,MAYOR - REP,PROVISIONAL,JIM OSHER,0
01,04,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
01,04,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
01,04,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
01,04,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
01,04,MAYOR - REP,Total,ANDY KARANDZIEFF,0
01,04,MAYOR - REP,Total,JIM OSHER,0
01,04,MAYOR - REP,Total,ANDREW JONES,0
01,05,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
01,05,MAYOR - REP,Polling,JIM OSHER,0
01,05,MAYOR - REP,Polling,ANDREW JONES,1
01,05,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
01,05,MAYOR - REP,ABSENTEE,JIM OSHER,0
01,05,MAYOR - REP,ABSENTEE,ANDREW JONES,0
01,05,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
01,05,MAYOR - REP,PROVISIONAL,JIM OSHER,0
01,05,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
01,05,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
01,05,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
01,05,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
01,05,MAYOR - REP,Total,ANDY KARANDZIEFF,0
01,05,MAYOR - REP,Total,JIM OSHER,0
01,05,MAYOR - REP,Total,ANDREW JONES,1
01,06,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
01,06,MAYOR - REP,Polling,JIM OSHER,0
01,06,MAYOR - REP,Polling,ANDREW JONES,1
01,06,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,1
01,06,MAYOR - REP,ABSENTEE,JIM OSHER,0
01,06,MAYOR - REP,ABSENTEE,ANDREW JONES,0
01,06,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
01,06,MAYOR - REP,PROVISIONAL,JIM OSHER,0
01,06,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
01,06,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
01,06,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
01,06,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
01,06,MAYOR - REP,Total,ANDY KARANDZIEFF,1
01,06,MAYOR - REP,Total,JIM OSHER,0
01,06,MAYOR - REP,Total,ANDREW JONES,1
