date,ward,precinct,race,type,candidate,votes
2017-03-07,01,01,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
2017-03-07,01,01,MAYOR - REP,Polling,JIM OSHER,0
2017-03-07,01,01,MAYOR - REP,Polling,ANDREW JONES,0
2017-03-07,01,01,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
2017-03-07,01,01,MAYOR - REP,ABSENTEE,JIM OSHER,0
2017-03-07,01,01,MAYOR - REP,ABSENTEE,ANDREW JONES,0
2017-03-07,01,01,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
2017-03-07,01,01,MAYOR - REP,PROVISIONAL,JIM OSHER,0
2017-03-07,01,01,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
2017-03-07,01,01,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
2017-03-07,01,01,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
2017-03-07,01,01,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
2017-03-07,01,01,MAYOR - REP,Total,ANDY KARANDZIEFF,0
2017-03-07,01,01,MAYOR - REP,Total,JIM OSHER,0
2017-03-07,01,01,MAYOR - REP,Total,ANDREW JONES,0
2017-03-07,01,02,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
2017-03-07,01,02,MAYOR - REP,Polling,JIM OSHER,0
2017-03-07,01,02,MAYOR - REP,Polling,ANDREW JONES,0
2017-03-07,01,02,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
2017-03-07,01,02,MAYOR - REP,ABSENTEE,JIM OSHER,0
2017-03-07,01,02,MAYOR - REP,ABSENTEE,ANDREW JONES,0
2017-03-07,01,02,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
2017-03-07,01,02,MAYOR - REP,PROVISIONAL,JIM OSHER,0
2017-03-07,01,02,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
2017-03-07,01,02,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
2017-03-07,01,02,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
2017-03-07,01,02,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
2017-03-07,01,02,MAYOR - REP,Total,ANDY KARANDZIEFF,0
2017-03-07,01,02,MAYOR - REP,Total,JIM OSHER,0
2017-03-07,01,02,MAYOR - REP,Total,ANDREW JONES,0
2017-03-07,01,03,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
2017-03-07,01,03,MAYOR - REP,Polling,JIM OSHER,0
2017-03-07,01,03,MAYOR - REP,Polling,ANDREW JONES,0
2017-03-07,01,03,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
2017-03-07,01,03,MAYOR - REP,ABSENTEE,JIM OSHER,0
2017-03-07,01,03,MAYOR - REP,ABSENTEE,ANDREW JONES,0
2017-03-07,01,03,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
2017-03-07,01,03,MAYOR - REP,PROVISIONAL,JIM OSHER,0
2017-03-07,01,03,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
2017-03-07,01,03,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
2017-03-07,01,03,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
2017-03-07,01,03,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
2017-03-07,01,03,MAYOR - REP,Total,ANDY KARANDZIEFF,0
2017-03-07,01,03,MAYOR - REP,Total,JIM OSHER,0
2017-03-07,01,03,MAYOR - REP,Total,ANDREW JONES,0
2017-03-07,01,04,MAYOR - REP,Polling,ANDY KARANDZIEFF,0
2017-03-07,01,04,MAYOR - REP,Polling,JIM OSHER,0
2017-03-07,01,04,MAYOR - REP,Polling,ANDREW JONES,0
2017-03-07,01,04,MAYOR - REP,ABSENTEE,ANDY KARANDZIEFF,0
2017-03-07,01,04,MAYOR - REP,ABSENTEE,JIM OSHER,0
2017-03-07,01,04,MAYOR - REP,ABSENTEE,ANDREW JONES,0
2017-03-07,01,04,MAYOR - REP,PROVISIONAL,ANDY KARANDZIEFF,0
2017-03-07,01,04,MAYOR - REP,PROVISIONAL,JIM OSHER,0
2017-03-07,01,04,MAYOR - REP,PROVISIONAL,ANDREW JONES,0
2017-03-07,01,04,MAYOR - REP,HOUSE VOTES,ANDY KARANDZIEFF,0
2017-03-07,01,04,MAYOR - REP,HOUSE VOTES,JIM OSHER,0
2017-03-07,01,04,MAYOR - REP,HOUSE VOTES,ANDREW JONES,0
