date,ward,precinct,race,type,candidate,votes
2017-04-04,01,01,MAYOR,Polling,ANDREW JONES,42
2017-04-04,01,01,MAYOR,Polling,LYDA KREWSON,70
2017-04-04,01,01,MAYOR,Polling,ROBB CUNNINGHAM,1
2017-04-04,01,01,MAYOR,ABSENTEE,ANDREW JONES,4
2017-04-04,01,01,MAYOR,ABSENTEE,LYDA KREWSON,17
2017-04-04,01,01,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
2017-04-04,01,01,MAYOR,PROVISIONAL,ANDREW JONES,0
2017-04-04,01,01,MAYOR,PROVISIONAL,LYDA KREWSON,0
2017-04-04,01,01,MAYOR,PROVISIONAL,ROBB CUNNINGHAM,0
2017-04-04,01,01,MAYOR,HOUSE VOTES,ANDREW JONES,0
2017-04-04,01,01,MAYOR,HOUSE VOTES,LYDA KREWSON,0
2017-04-04,01,01,MAYOR,HOUSE VOTES,ROBB CUNNINGHAM,0
2017-04-04,01,01,MAYOR,Total,ANDREW JONES,46
2017-04-04,01,01,MAYOR,Total,LYDA KREWSON,87
2017-04-04,01,01,MAYOR,Total,ROBB CUNNINGHAM,1
2017-04-04,01,02,MAYOR,Polling,ANDREW JONES,31
2017-04-04,01,02,MAYOR,Polling,LYDA KREWSON,66
2017-04-04,01,02,MAYOR,Polling,ROBB CUNNINGHAM,0
2017-04-04,01,02,MAYOR,ABSENTEE,ANDREW JONES,3
2017-04-04,01,02,MAYOR,ABSENTEE,LYDA KREWSON,10
2017-04-04,01,02,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
2017-04-04,01,02,MAYOR,PROVISIONAL,ANDREW JONES,0
2017-04-04,01,02,MAYOR,PROVISIONAL,LYDA KREWSON,0
2017-04-04,01,02,MAYOR,PROVISIONAL,ROBB CUNNINGHAM,0
2017-04-04,01,02,MAYOR,HOUSE VOTES,ANDREW JONES,0
2017-04-04,01,02,MAYOR,HOUSE VOTES,LYDA KREWSON,0
2017-04-04,01,02,MAYOR,HOUSE VOTES,ROBB CUNNINGHAM,0
2017-04-04,01,02,MAYOR,Total,ANDREW JONES,34
2017-04-04,01,02,MAYOR,Total,LYDA KREWSON,76
2017-04-04,01,02,MAYOR,Total,ROBB CUNNINGHAM,0
2017-04-04,01,03,MAYOR,Polling,ANDREW JONES,33
2017-04-04,01,03,MAYOR,Polling,LYDA KREWSON,87
2017-04-04,01,03,MAYOR,Polling,ROBB CUNNINGHAM,3
2017-04-04,01,03,MAYOR,ABSENTEE,ANDREW JONES,2
2017-04-04,01,03,MAYOR,ABSENTEE,LYDA KREWSON,17
2017-04-04,01,03,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
2017-04-04,01,03,MAYOR,PROVISIONAL,ANDREW JONES,0
2017-04-04,01,03,MAYOR,PROVISIONAL,LYDA KREWSON,0
2017-04-04,01,03,MAYOR,PROVISIONAL,ROBB CUNNINGHAM,0
2017-04-04,01,03,MAYOR,HOUSE VOTES,ANDREW JONES,0
2017-04-04,01,03,MAYOR,HOUSE VOTES,LYDA KREWSON,0
2017-04-04,01,03,MAYOR,HOUSE VOTES,ROBB CUNNINGHAM,0
2017-04-04,01,03,MAYOR,Total,ANDREW JONES,35
2017-04-04,01,03,MAYOR,Total,LYDA KREWSON,104
2017-04-04,01,03,MAYOR,Total,ROBB CUNNINGHAM,3
2017-04-04,01,04,MAYOR,Polling,ANDREW JONES,44
2017-04-04,01,04,MAYOR,Polling,LYDA KREWSON,90
2017-04-04,01,04,MAYOR,Polling,ROBB CUNNINGHAM,2
2017-04-04,01,04,MAYOR,ABSENTEE,ANDREW JONES,0
2017-04-04,01,04,MAYOR,ABSENTEE,LYDA KREWSON,6
2017-04-04,01,04,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
2017-04-04,01,04,MAYOR,PROVISIONAL,ANDREW JONES,0
2017-04-04,01,04,MAYOR,PROVISIONAL,LYDA KREWSON,0
2017-04-04,01,04,MAYOR,PROVISIONAL,ROBB CUNNINGHAM,0
2017-04-04,01,04,MAYOR,HOUSE VOTES,ANDREW JONES,0
2017-04-04,01,04,MAYOR,HOUSE VOTES,LYDA KREWSON,0
2017-04-04,01,04,MAYOR,HOUSE VOTES,ROBB CUNNINGHAM,0
2017-04-04,01,04,MAYOR,Total,ANDREW JONES,44
2017-04-04,01,04,MAYOR,Total,LYDA KREWSON,96
2017-04-04,01,04,MAYOR,Total,ROBB CUNNINGHAM,2
2017-04-04,01,05,MAYOR,Polling,ANDREW JONES,70
2017-04-04,01,05,MAYOR,Polling,LYDA KREWSON,93
2017-04-04,01,05,MAYOR,Polling,ROBB CUNNINGHAM,3
2017-04-04,01,05,MAYOR,ABSENTEE,ANDREW JONES,4
2017-04-04,01,05,MAYOR,ABSENTEE,LYDA KREWSON,16
2017-04-04,01,05,MAYOR,ABSENTEE,ROBB CUNNINGHAM,0
2017-04-04,01,05,MAYOR,PROVISIONAL,ANDREW JONES,0
2017-04-04,01,05,MAYOR,PROVISIONAL,LYDA KREWSON,0
2017-04-04,01,05,MAYOR,PROVISIONAL,ROBB CUNNINGHAM,0
2017-04-04,01,05,MAYOR,HOUSE VOTES,ANDREW JONES,0
2017-04-04,01,05,MAYOR,HOUSE VOTES,LYDA KREWSON,1
2017-04-04,01,05,MAYOR,HOUSE VOTES,ROBB CUNNINGHAM,0
2017-04-04,01,05,MAYOR,Total,ANDREW JONES,74
2017-04-04,01,05,MAYOR,Total,LYDA KREWSON,110
2017-04-04,01,05,MAYOR,Total,ROBB CUNNINGHAM,3
2017-04-04,01,06,MAYOR,Polling,ANDREW JONES,47
2017-04-04,01,06,MAYOR,Polling,LYDA KREWSON,101
2017-04-04,01,06,MAYOR,Polling,ROBB CUNNINGHAM,1
2017-04-04,01,06,MAYOR,ABSENTEE,ANDREW JONES,11
2017-04-04,01,06,MAYOR,ABSENTEE,LYDA KREWSON,39
2017-04-04,01,06,MAYOR,ABSENTEE,ROBB CUNNINGHAM,3
2017-04-04,01,06,MAYOR,PROVISIONAL,ANDREW JONES,0
