ward,precinct,registered,polling,absentee,provisional,house,total
01,01,980,205,21,0,0,226
01,02,1072,220,25,0,0,245
01,03,1219,235,29,0,0,264
01,04,916,202,8,0,0,210
01,05,1086,274,26,0,0,300
01,06,1283,277,55,0,0,332
01,07,117,28,5,0,0,33
02,01,279,57,7,0,0,64
02,02,266,18,2,0,0,20
02,03,1098,207,19,0,0,226
02,04,667,138,8,0,0,146
02,05,1113,325,29,0,0,354
02,06,15,1,0,0,0,1
02,07,1074,308,42,0,0,350
02,08,1310,265,22,0,0,287
03,01,310,83,5,0,0,88
03,02,922,241,31,0,0,272
03,03,620,99,27,0,0,126
03,04,916,167,24,0,0,191
03,05,664,111,26,0,0,137
03,06,697,141,19,0,0,160
03,07,956,191,25,0,0,216
03,08,584,93,27,0,0,120
03,09,525,122,35,0,0,157
04,01,694,147,31,0,0,178
04,02,1586,317,29,0,0,346
04,03,659,115,9,0,0,124
04,04,924,179,15,0,0,194
04,05,776,171,13,0,0,184
04,06,563,99,7,0,0,106
04,07,791,181,17,0,0,198
04,08,159,28,3,0,0,31
04,09,142,34,2,0,0,36
04,10,256,33,7,0,0,40
05,01,541,93,60,0,0,153
05,02,653,121,4,0,0,125
05,03,920,198,70,0,0,268
05,04,533,104,4,0,0,108
05,05,891,122,16,0,0,138
05,06,1118,196,44,0,0,240
05,07,1175,273,35,0,0,308
05,08,567,88,37,0,0,125
06,01,908,294,12,0,0,306
06,02,801,351,21,0,0,372
06,03,1096,347,6,0,0,353
06,04,1077,450,22,0,1,473
06,05,533,167,14,0,0,181
06,06,953,227,8,0,0,235
06,07,1479,518,21,0,0,539
06,08,1050,180,34,0,0,214
06,09,139,36,3,0,0,39
07,01,688,210,7,0,0,217
07,02,707,190,8,0,0,198
07,03,624,234,12,0,0,246
07,04,2103,429,47,0,1,477
07,05,1668,432,33,0,0,465
07,06,2079,588,31,0,0,619
08,01,1155,452,14,0,0,466
08,02,823,247,9,0,0,256
08,03,726,221,7,0,0,228
08,04,1584,593,18,0,0,611
08,05,1579,623,30,0,0,653
08,06,84,11,0,0,0,11
08,07,580,201,14,0,0,215
08,08,1049,354,26,0,0,380
08,09,977,332,25,0,0,357
09,01,1202,284,11,0,0,295
09,02,1348,272,14,0,0,286
09,03,902,374,7,0,0,381
09,04,675,268,6,0,0,274
09,05,774,327,10,0,0,337
09,06,977,203,11,0,0,214
09,07,79,59,0,0,0,59
09,08,437,150,7,0,0,157
09,09,356,133,5,0,0,138
10,01,1309,396,23,0,0,419
10,02,1100,358,12,0,0,370
10,03,1008,316,10,0,0,326
10,04,1207,341,12,0,0,353
10,05,1189,244,5,0,0,249
10,06,190,67,4,0,0,71
10,07,1132,302,3,0,0,305
10,09,48,6,1,0,0,7
10,10,153,36,1,0,0,37
11,01,783,165,5,0,0,170
11,02,1143,430,12,0,0,442
11,03,804,125,7,0,0,132
11,04,1234,296,23,0,0,319
11,05,1261,255,48,0,0,303
11,06,1058,267,7,0,0,274
12,01,734,198,5,0,0,203
12,02,1612,443,37,0,0,480
12,03,813,254,8,0,0,262
12,04,1372,454,17,0,0,471
12,05,1606,547,19,0,0,566
12,06,1684,404,38,0,0,442
12,08,89,22,0,0,0,22
12,09,52,11,0,0,0,11
13,01,1760,440,29,0,0,469
13,02,1533,488,22,0,0,510
13,03,1187,232,7,0,0,239
13,04,1343,412,10,0,0,422
13,06,1256,229,12,0,0,241
13,07,63,9,1,0,0,10
14,01,969,339,10,0,0,349
14,02,842,183,5,0,0,188
14,03,1037,270,18,0,0,288
14,04,1359,421,3,0,0,424
14,05,612,107,5,0,0,112
14,06,1050,214,5,0,0,219
14,07,97,34,2,0,0,36
14,08,56,23,0,0,0,23
14,09,353,64,12,0,0,76
15,01,1228,528,12,0,0,540
15,02,1473,689,28,0,0,717
15,03,1718,706,20,0,0,726
15,04,950,176,8,0,0,184
15,05,1301,435,9,0,0,444
15,06,683,154,5,0,0,159
15,07,4,2,0,0,0,2
16,01,1126,444,23,0,0,467
16,02,1235,525,37,0,0,562
16,03,1199,487,21,0,1,509
16,04,1260,513,22,0,0,535
16,05,1231,433,17,0,0,450
16,06,991,466,23,0,0,489
16,07,1030,413,28,0,0,441
16,08,521,122,7,0,0,129
17,01,681,210,5,0,0,215
17,02,634,147,7,0,0,154
17,03,67,16,2,0,0,18
17,04,1199,295,38,0,0,333
17,05,2111,618,52,0,0,670
17,06,1482,417,18,0,0,435
17,07,30,4,0,0,0,4
17,08,1192,324,33,0,0,357
18,01,1568,400,54,0,0,454
18,02,1063,227,13,0,0,240
18,03,230,47,2,0,0,49
18,04,972,234,13,0,0,247
18,05,939,218,43,0,0,261
18,06,1000,185,24,0,0,209
19,01,1161,330,13,0,0,343
19,02,62,8,1,0,0,9
19,03,341,103,6,0,0,109
19,04,739,236,19,0,0,255
19,05,1068,112,15,0,0,127
19,06,903,229,29,0,0,258
19,07,205,42,4,0,0,46
19,08,645,116,19,0,0,135
19,09,562,94,14,0,0,108
20,01,1127,155,10,0,0,165
20,02,633,125,3,0,0,128
20,03,1312,239,6,0,0,245
20,04,710,130,5,0,1,136
20,05,1292,262,13,0,0,275
20,06,227,38,2,0,0,40
20,07,358,68,9,0,0,77
21,01,613,142,11,0,0,153
21,02,901,221,24,0,0,245
21,03,833,183,22,0,0,205
21,04,961,279,19,0,0,298
21,05,758,179,16,0,0,195
21,06,853,230,22,0,0,252
21,07,549,128,11,0,0,139
21,08,709,168,17,0,0,185
21,09,857,198,17,0,0,215
22,01,507,85,3,0,0,88
22,02,1046,166,20,0,0,186
22,03,1190,219,15,0,0,234
22,04,851,182,27,0,0,209
22,05,761,159,21,0,0,180
22,06,1172,239,26,0,0,265
22,07,479,89,6,0,0,95
22,08,176,36,2,0,0,38
23,01,1525,470,13,0,0,483
23,02,1187,377,26,0,0,403
23,03,777,280,11,0,0,291
23,04,1200,395,11,0,0,406
23,05,900,316,10,0,0,326
23,06,912,304,7,0,0,311
23,07,949,291,19,0,0,310
23,08,899,297,11,0,0,308
23,09,287,83,5,0,0,88
24,01,1132,285,8,0,0,293
24,02,761,249,11,0,0,260
24,03,903,197,6,0,0,203
24,04,1143,334,13,0,0,347
24,05,1147,312,15,0,0,327
24,06,1201,370,5,0,0,375
24,07,1115,277,8,0,0,285
24,08,365,94,4,0,0,98
25,01,1349,244,13,0,0,257
25,02,1432,285,14,0,0,299
25,03,845,126,3,0,0,129
25,04,1475,288,14,0,0,302
25,05,561,93,4,0,0,97
25,06,26,9,0,0,0,9
26,01,817,224,15,0,0,239
26,02,689,146,20,0,0,166
26,03,1965,512,33,0,0,545
26,04,1333,363,45,0,0,408
26,05,1100,282,10,0,0,292
26,06,1106,286,33,0,0,319
27,01,1117,271,21,0,0,292
27,02,839,147,7,0,0,154
27,03,1034,152,10,0,0,162
27,04,868,111,10,0,0,121
27,05,683,162,15,0,0,177
27,06,1210,258,18,0,0,276
27,07,1102,286,35,0,0,321
27,08,672,194,18,0,0,212
28,01,714,252,18,0,0,270
28,02,514,218,17,0,0,235
28,04,583,217,21,0,0,238
28,05,1113,347,18,0,0,365
28,06,867,357,13,0,0,370
28,07,678,267,13,0,0,280
28,08,1213,359,24,0,0,383
28,09,549,195,17,0,0,212
28,10,1086,451,40,0,0,491
